Over ^in++++=Over
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
mcrc ^nn+++??+=mCRC
are ^vb+ber+vrb++=are
eligible ^jj+pred+++=eligible
for ^in++++=for
a ^at++++=a
third ^nn++++=third
or ^cc++++=or
further ^jjb+atrb+++=further
line ^nn++++=line
of ^in++++=of
treatment ^nn+nom+++=treatment
throughout ^in++++=throughout
their ^pp$+pp3+++=their
continuum ^nn++++=continuum
of ^in++++=of
care ^nn++++=care
. ^zz++++=.
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
retreatment ^nn+nom+++=retreatment
with ^in++++=with
drugs ^nns++++=drugs
to ^to++++=to
which ^whp+who+++=which
patients ^nns++++=patients
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
previously ^rb+tm+splt++=previously
exposed ^vwbn+++xvbn+=exposed
is ^vbz+bez+aux++=is
often ^rb++splt++=often
adopted ^vpsv++agls+xvbnx+=adopted
in ^in++++=in
clinical ^jj+atrb+++=clinical
practice ^nn++++=practice
despite ^in++++=despite
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
biomarkers ^nns+nom+++=biomarkers
and ^cc++++=and
of ^in++++=of
conclusive ^jj+atrb+++=conclusive
clinical ^jj+atrb+++=clinical
evidence ^nn+nom+++=evidence
. ^zz++++=.
In ^in++++=In
keeping ^xvbg+++xvbg+=keeping
with ^in++++=with
such ^abl++++=such
empirical ^jj+atrb+++=empirical
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
rechallenge ^nn+++??+=rechallenge
with ^in++++=with
anti ^nn+++??+=anti-EGFR
- ^zz++++=EXTRAWORD
egfr ^nn+++??+=EXTRAWORD
agents ^nns++++=agents
is ^vbz+bez+aux++=is
deployed ^vpsv++agls+xvbnx+=deployed
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
described ^jj+atrb++xvbn+=described
decay ^nn++++=decay
of ^in++++=of
resistance ^nn+nom+++=resistance
mechanisms ^nns+nom+++=mechanisms
, ^zz++++=,
its ^pp$+it+++=its
manageable ^jj+atrb+++=manageable
toxicity ^nn+nom+++=toxicity
profile ^nn++++=profile
and ^cc++++=and
potential ^jj+atrb+++=potential
induction ^nn+nom+++=induction
of ^in++++=of
tumor ^nn++++=tumor
shrinkage ^nn+nom+++=shrinkage
. ^zz++++=.
This ^dt+dem+++=This
strategy ^nn++++=strategy
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
clinical ^jj+atrb+++=clinical
practice ^nn++++=practice
and ^cc++++=and
is ^vbz+bez+aux++=is
increasingly ^rb++splt++=increasingly
guided ^vpsv++by+xvbnx+=guided
by ^in++++=by
extended ^vbd+++xvbn+=extended
and ^cc++++=and
real ^jj++++=real-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
molecular ^jj+atrb+++=molecular
profiling ^nn+nom+++=profiling,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
prospective ^jj+atrb+++=prospective
data ^nns++++=data
. ^zz++++=.
We ^pp1a+pp1+++=We
and ^cc++++=and
others ^aps++++=others
previously ^rb+tm+++=previously
proposed ^vbn+vsua++xvbn+=proposed
that ^tht+vcmp+++=that
ctdna ^nn+++??+=ctDNA
analysis ^nn++++=analysis
of ^in++++=of
anti ^nn+++??+=anti-EGFR
- ^zz++++=EXTRAWORD
egfr ^nn+++??+=EXTRAWORD
resistance ^nn+nom+++=resistance-conferring
- ^zz++++=EXTRAWORD
conferring ^vbg+++xvbg+=EXTRAWORD
mutations ^nns+nom+++=mutations
could ^md+pos+++=could
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
direct ^vb+vpub+++=direct
the ^ati++++=the
selection ^nn+nom+++=selection
of ^in++++=of
patients ^nns++++=patients
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context
. ^zz++++=.
