Most ^ql+emph+++=Most
studies ^nns++++=studies
have ^vb+hv+vrb++=have
weak ^jj+atrb+++=weak
designs ^nns++++=designs,
, ^zz++++=EXTRAWORD
limiting ^vbg+++xvbg+=limiting
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
draw ^vbi++++=draw
causal ^jj+atrb+++=causal
connections ^nns+nom+++=connections.
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
studies ^nns++++=studies
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
should ^md+nec+++=should
incorporate ^nn+nom+++=incorporate
better ^jjr+atrb+++=better
study ^nn++++=study
designs ^nns++++=designs,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
large ^jj++++=large,
, ^zz++++=EXTRAWORD
multisite ^nn++++=multisite
pragmatic ^jj+atrb+++=pragmatic
randomized ^jj+atrb++xvbn+=randomized
designs ^nns++++=designs.
. ^zz++++=EXTRAWORD
Small ^jj++++=Small,
, ^zz++++=EXTRAWORD
single ^jj++++=single-site
- ^zz++++=EXTRAWORD
site ^nn++++=EXTRAWORD
trials ^nns++++=trials
still ^rb++++=still
face ^vb++++=face
the ^ati++++=the
challenge ^nn++++=challenge
of ^in++++=of
scalability ^nn+nom+++=scalability,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
combining ^xvbg+++xvbg+=combining
randomized ^vbd+++xvbn+=randomized
controlled ^vbd+++xvbn+=controlled
trials ^nns++++=trials
with ^in++++=with
implementation ^nn+nom+++=implementation
science ^nn+nom+++=science
tools ^nns++++=tools
could ^md+pos+++=could
enhance ^nn+nom+++=enhance
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
scale ^vb++++=scale
promising ^jj+atrb+++=promising
trial ^nn++++=trial
designs ^nns++++=designs
and ^cc+cls+++=and
hence ^rb+cnj+++=hence
have ^vb+hv+vrb++=have
a ^at++++=a
better ^jjr+atrb+++=better
chance ^nn++++=chance
of ^in++++=of
improving ^xvbg+++xvbg+=improving
the ^ati++++=the
population ^nn+nom+++=population
health ^nn++++=health
of ^in++++=of
care ^nn++++=care
recipients ^nns++++=recipients.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
that ^tht+rel+obj++=that
use ^nn++++=use
administrative ^jj++++=administrative
and ^cc++++=and
claims ^nns++++=claims
data ^nns++++=data
could ^md+pos+++=could
at ^rb++splt++=at
least ^rb"++++=least
incorporate ^nn+nom+++=incorporate
longitudinal ^jj+atrb+++=longitudinal
designs ^nns++++=designs
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
move ^vb++++=move
away ^in+pl+++=away
from ^in"++++=from
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
correlations ^nns+nom+++=correlations
and ^cc++++=and
should ^md+nec+++=should
consider ^nn+nom+++=consider
more ^rbr++++=more
causal ^jj+atrb+++=causal
models ^nns++++=models
such ^abl++++=such
as ^ql++++=as
instrumental ^jj+atrb+++=instrumental
variables ^nns++++=variables
and ^cc++++=and
regression ^nn++++=regression
discontinuity ^nn+nom+++=discontinuity
designs ^nns++++=designs.
. ^zz++++=EXTRAWORD
