Most ^ql+emph+++=Most
studies ^nns++++=studies
were ^vbd+bed+aux++=were
deemed ^vpsv++agls+xvbnx+=deemed
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
high ^nn++++=high
risk ^vb++++=risk
of ^in++++=of
bias ^nn++++=bias
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
design ^nn++++=design.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
somewhat ^rb+down+++=somewhat
understandable ^jj+pred+++=understandable
in ^in++++=in
this ^dt+dem+++=this
setting ^jj+++xvbg+=setting
running ^xvbg+++xvbg+=running
randomized ^vbd+++xvbn+=randomized
controlled ^vbd+++xvbn+=controlled
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
informal ^jj+atrb+++=informal
care ^nn++++=care,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
if ^cs+cnd+++=if
not ^xnot++not++=not
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-known
- ^zz++++=EXTRAWORD
known ^vbd+vprv++xvbn+=EXTRAWORD
quasi ^jjb++++=quasi-experimental
- ^zz++++=EXTRAWORD
experimental ^jj+atrb+++=EXTRAWORD
methods ^nns++++=methods
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
to ^in++++=to
address ^nns+nom+++=address
the ^ati++++=the
selection ^nn+nom+++=selection
of ^in++++=of
the ^ati++++=the
home ^nr++++=home
care ^nn++++=care
team ^nn++++=team
in ^in++++=in
observational ^jj+atrb+++=observational
data ^nns++++=data
were ^vbd+bed+aux++=were
seldom ^rb++splt++=seldom
employed ^vpsv++agls+xvbnx+=employed
to ^in++++=to
study ^nn++++=study
this ^dt+dem+++=this
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
identified ^vbd+++xvbn+=identified
only ^rb+down+++=only
one ^cd1++++=one-fifth
- ^zz++++=EXTRAWORD
fifth ^od++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
as ^ql++++=as
having ^jj+++xvbg+=having
a ^at++++=a
low ^jj+atrb+++=low
risk ^nn++++=risk
of ^in++++=of
bias ^nn++++=bias
( ^zz++++=(81.5%
81.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
medium ^jjb++++=medium
or ^cc+phrs+++=or
high ^jj++++=high
risk ^vb++++=risk
of ^in++++=of
bias ^nn++++=bias)
) ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
estimating ^vbg+++xvbg+=estimating
a ^at++++=a
plausibly ^rb++++=plausibly
causal ^jj+atrb+++=causal
relationship ^nn+nom+++=relationship
between ^in++++=between
the ^ati++++=the
sources ^nns++++=sources
of ^in++++=of
care ^nn++++=care
and ^cc++++=and
the ^ati++++=the
outcomes ^nns++++=outcomes
of ^in++++=of
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
