Over ^in++++=Over
one ^cd1++++=one-third
- ^zz++++=EXTRAWORD
third ^od++++=EXTRAWORD
of ^in++++=of
this ^dt+dem+++=this
subset ^nn+++??+=subset
of ^in++++=of
studies ^nns++++=studies
examined ^vwbn+++xvbn+=examined
health ^nn++++=health
outcomes ^nns+++??+=outcomes
( ^zz++++=(
14 ^cd++++=14
) ^zz++++=).
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
found ^vbd+vprv++xvbn+=found
no ^at++++=no
difference ^nn+nom+++=difference
between ^in++++=between
informal ^jj+atrb+++=informal
care ^nn++++=care
and ^cc++++=and
formal ^jj+atrb+++=formal
care ^nn++++=care
on ^in++++=on
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
health ^nn++++=health
outcomes ^nns+++??+=outcomes:
: ^zz++++=EXTRAWORD
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
( ^zz++++=(
71 ^cd++++=71
) ^zz++++=),
, ^zz++++=EXTRAWORD
falls ^vbz++++=falls
( ^zz++++=(
61 ^cd++++=61
) ^zz++++=),
, ^zz++++=EXTRAWORD
psychiatric ^jj+atrb+++=psychiatric
health ^nn++++=health
( ^zz++++=(
30 ^cd++++=30
) ^zz++++=),
, ^zz++++=EXTRAWORD
mental ^jj+atrb+++=mental
health ^nn++++=health
( ^zz++++=(
38 ^cd++++=38
) ^zz++++=),
, ^zz++++=EXTRAWORD
fractures ^nns++++=fractures
( ^zz++++=(
64 ^cd++++=64
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mistreatment ^nn+nom+++=mistreatment
( ^zz++++=(
87 ^cd++++=87
) ^zz++++=).
. ^zz++++=EXTRAWORD
