Most ^ql+emph+++=Most
cobenefits ^nns+++??+=cobenefits
publications ^nns+nom+++=publications
focus ^nn++++=focus
on ^in++++=on
highly ^rb+amp+++=highly
developed ^xvbn+++xvbn+=developed
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
and ^cc++++=and
Europe ^np++++=Europe
in ^rb++++=in
particular ^rb"++++=particular
( ^zz++++=(
24 ^cd++++=24
, ^zz++++=,
41 ^cd++++=41
) ^zz++++=).
. ^zz++++=EXTRAWORD
Cities ^nns++++=Cities
in ^in++++=in
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South
are ^vb+ber+aux++=are
particularly ^rb++splt++=particularly
underrepresented ^vpsv++agls+xvbnx+=underrepresented
( ^zz++++=(
78 ^cd++++=78
) ^zz++++=),
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
further ^jjb+atrb+++=further
rapid ^jj+atrb+++=rapid
urbanization ^nn+nom+++=urbanization
in ^in++++=in
the ^ati++++=the
mega ^nn+++??+=mega
cities ^nns++++=cities
of ^in++++=of
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South
is ^vbz+bez+aux++=is
expected ^vbd+vprv++xvbn+=expected
to ^to+vcmp+++=to
have ^vbi++++=have
significant ^jj++++=significant
environmental ^jj++++=environmental
and ^cc++++=and
health ^nn++++=health
impacts ^nns++++=impacts.
. ^zz++++=EXTRAWORD
