Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ideological ^jj+atrb+++=ideological
nature ^nn++++=nature
of ^in++++=of
abortions ^nns+nom+++=abortions
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
a ^at++++=a
predominant ^jj+atrb+++=predominant
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
legality ^nn+nom+++=legality,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
illegality ^nn+nom+++=illegality,
, ^zz++++=EXTRAWORD
of ^in++++=of
abortion ^nn+nom+++=abortion
as ^in++++=as
a ^at++++=a
procedure ^nn++++=procedure.
. ^zz++++=EXTRAWORD
Less ^rbr++++=Less
considered ^vbd+vprv++xvbn+=considered,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
Lmics ^np+++??+=LMICs,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
more ^rbr++++=more
comprehensive ^jj+atrb+++=comprehensive
management ^nn+nom+++=management
and ^cc++++=and
development ^nn+nom+++=development
of ^in++++=of
preand ^nn+++??+=preand
postabortion ^nn+nom+++=postabortion
quality ^nn+nom+++=quality
of ^in++++=of
care ^nn++++=care
( ^zz++++=(
18 ^cd++++=18
, ^zz++++=,
55 ^cd++++=55
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
study ^nn++++=study
in ^in++++=in
Kenya ^np++++=Kenya,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
demonstrated ^vb+++xvbn+=demonstrated
that ^tht+vcmp+++=that
any ^dti++++=any
considerations ^nns+nom+++=considerations
of ^in++++=of
quality ^nn+nom+++=quality
of ^in++++=of
postabortion ^nn+nom+++=postabortion
health ^nn++++=health
care ^nn++++=care
are ^vb+ber+aux++=are
constrained ^vpsv++by+xvbnx+=constrained
by ^in++++=by
law ^nn++++=law
and ^cc++++=and
government ^nn+nom+++=government
policy ^nn++++=policy
( ^zz++++=(
46 ^cd++++=46
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
problems ^nns++++=problems
related ^vbd+++xvbn+=related
specifically ^rb++++=specifically
to ^in++++=to
the ^ati++++=the
negative ^jj+atrb+++=negative
attitudes ^nns++++=attitudes
of ^in++++=of
staff ^nn++++=staff,
, ^zz++++=EXTRAWORD
borne ^xvbn+++xvbn+=borne
both ^abx++++=both
of ^in++++=of
fear ^nn++++=fear
of ^in++++=of
possible ^jj+atrb+++=possible
repercussions ^nns++++=repercussions
and ^cc++++=and
of ^in++++=of
prejudice ^nn++++=prejudice
against ^in++++=against
women ^nns++++=women
seeking ^vwbg+++xvbg+=seeking
abortions ^nns+nom+++=abortions.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
also ^rb++++=also
a ^at++++=a
dearth ^nn++++=dearth
of ^in++++=of
evidence ^nn+nom+++=evidence
on ^in++++=on
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
psychosocial ^jj+atrb+++=psychosocial
support ^nn++++=support
and ^cc++++=and
counseling ^nn+nom+++=counseling
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
culturally ^rb++++=culturally
appropriate ^jj+pred+++=appropriate
( ^zz++++=(
63 ^cd++++=63
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
lack ^nn++++=lack
of ^in++++=of
prioritization ^nn+nom+++=prioritization
also ^rb++++=also
extended ^jj+++xvbn+=extended
to ^in++++=to
women ^nns++++=women
who ^whp+rel+subj++=who
sought ^vbd+++xvbn+=sought
abortions ^nns+nom+++=abortions
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
possible ^jj+atrb+++=possible
congenital ^jj+atrb+++=congenital
malformations ^nns+nom+++=malformations
and ^cc++++=and
other ^ap++++=other
reasons ^nns++++=reasons
that ^tht+ncmp+subj++=that
related ^vwbn+++xvbn+=related
to ^in++++=to
health ^nn++++=health
and ^cc++++=and
well ^rb++++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
Lmics ^np+++??+=LMICs
a ^at++++=a
situation ^nn+nom+++=situation
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
manifest ^jj+pred+++=manifest
during ^in++++=during
the ^ati++++=the
recent ^jj+atrb+++=recent
zika ^np++++=Zika
outbreak ^nn++++=outbreak
( ^zz++++=(
66 ^cd++++=66
) ^zz++++=).
. ^zz++++=EXTRAWORD
