Like ^in++++=Like
policy ^nn++++=policy
makers ^nns++++=makers,
, ^zz++++=EXTRAWORD
scientists ^nns+nom+++=scientists
form ^vb++++=form
a ^at++++=a
diverse ^jj+atrb+++=diverse
community ^nn+nom+++=community
that ^tht+rel+++=that
often ^rb++++=often
works ^nns++++=works
in ^in++++=in
silos ^nns++++=silos.
. ^zz++++=EXTRAWORD
Projecting ^vbg+++xvbg+=Projecting
health ^nn++++=health
cobenefits ^nns+++??+=cobenefits,
, ^zz++++=EXTRAWORD
identifying ^jj+atrb++xvbg+=identifying
policy ^nn++++=policy
barriers ^nns+nom+++=barriers
and ^cc++++=and
enablers ^nns+nom+++=enablers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
generating ^nvbg+++xvbg+=generating
policy ^nn++++=policy-relevant
- ^zz++++=EXTRAWORD
relevant ^jj+atrb+++=EXTRAWORD
research ^nn++++=research
in ^in++++=in
different ^jj++++=different
geographical ^jj++++=geographical,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
socioeconomic ^jj+atrb+++=socioeconomic
contexts ^nns++++=contexts
will ^md+prd+++=will
require ^vb+vsua+++=require
greater ^jjr+atrb+++=greater
collaboration ^nn+nom+++=collaboration
and ^cc++++=and
knowledge ^nn++++=knowledge
sharing ^vwbg+++xvbg+=sharing
between ^in++++=between
health ^nn++++=health
researchers ^nns+nom+++=researchers
and ^cc++++=and
a ^at++++=a
wider ^jjr+atrb+++=wider
community ^nn+nom+++=community
of ^in++++=of
behavioral ^jj+atrb+++=behavioral
scientists ^nns+nom+++=scientists,
, ^zz++++=EXTRAWORD
climatologists ^nns+nom+++=climatologists,
, ^zz++++=EXTRAWORD
urban ^jj+atrb+++=urban
planning ^jj+atrb++xvbg+=planning
experts ^nns++++=experts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
political ^jj+atrb+++=political
scientists ^nns+nom+++=scientists.
. ^zz++++=EXTRAWORD
A ^at++++=A
bibliometric ^jj+atrb+++=bibliometric
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
review ^nn++++=review
papers ^nns++++=papers
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
identified ^vbd+++xvbn+=identified
on ^in++++=on
the ^ati++++=the
barriers ^nns+nom+++=barriers
and ^cc++++=and
enablers ^nns+nom+++=enablers
of ^in++++=of
integrating ^xvbg+++xvbg+=integrating
health ^nn++++=health
into ^in++++=into
urban ^jj+atrb+++=urban
Cc ^nn++++=CC
policies ^nns++++=policies
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
78 ^cd++++=78%
% ^zz++++=EXTRAWORD
of ^in++++=of
publications ^nns+nom+++=publications
were ^vbd+bed+aux++=were
written ^vpsv++by+xvbnx+=written
by ^in++++=by
public ^jj+atrb+++=public
health ^nn++++=health
experts ^nns++++=experts
or ^cc++++=or
environmental ^jj+atrb+++=environmental
scientists ^nns+nom+++=scientists.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
15 ^cd++++=15%
% ^zz++++=EXTRAWORD
of ^in++++=of
authors ^nns++++=authors
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
urban ^jj+atrb+++=urban
development ^nn+nom+++=development
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
experts ^nns++++=experts
in ^in++++=in
other ^ap++++=other
disciplines ^nns++++=disciplines.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
limited ^jj+atrb++xvbn+=limited
pool ^nn++++=pool
of ^in++++=of
expertise ^nn++++=expertise
is ^vbz+bez+vrb++=is
clearly ^rb++++=clearly
a ^at++++=a
lost ^jj+atrb++xvbn+=lost
opportunity ^nn+nom+++=opportunity
for ^in++++=for
cross ^jj++++=cross-disciplinary
- ^zz++++=EXTRAWORD
disciplinary ^nn+nom+++=EXTRAWORD
learning ^vwbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
deeper ^jjr+atrb+++=deeper
knowledge ^nn++++=knowledge
and ^cc++++=and
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
urban ^jj+atrb+++=urban
governance ^nn+nom+++=governance
in ^in++++=in
fields ^nns++++=fields
such ^abl++++=such
as ^ql++++=as
city ^nn++++=city
planning ^vwbg+++xvbg+=planning,
, ^zz++++=EXTRAWORD
urban ^jj+atrb+++=urban
geography ^nn++++=geography,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
political ^jj+atrb+++=political
science ^nn+nom+++=science
( ^zz++++=(
10 ^cd++++=10
, ^zz++++=,
18 ^cd++++=18
, ^zz++++=,
37 ^cd++++=37
, ^zz++++=,
44 ^cd++++=44
, ^zz++++=,
50 ^cd++++=50
, ^zz++++=,
67 ^cd++++=67
) ^zz++++=).
. ^zz++++=EXTRAWORD
Insights ^np+++??+=Insights
are ^vb+ber+aux++=are
particularly ^rb++splt++=particularly
needed ^vpsv++agls+xvbnx+=needed
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
how ^wrb+who+whcl++=how
to ^to++++=to
increase ^vbi++++=increase
political ^jj++++=political
will ^md+prd+++=will
to ^to++++=to
adopt ^vbi++++=adopt
more ^rbr++++=more
ambitious ^jj++++=ambitious
and ^cc+phrs+++=and
transformative ^jj+atrb+++=transformative
urban ^jj+atrb+++=urban
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
including ^in++++=including
through ^in++++=through
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
alliances ^nns+nom+++=alliances
across ^in+pl+++=across
sectors ^nns++++=sectors
working ^vwbg+++xvbg+=working
toward ^in++++=toward
common ^jj+atrb+++=common
goals ^nns++++=goals
and ^cc++++=and
through ^in++++=through
societal ^jj+atrb+++=societal
engagement ^nn+nom+++=engagement
that ^tht+rel+subj++=that
puts ^vbz++++=puts
pressure ^nn++++=pressure
on ^in++++=on
politicians ^nns++++=politicians
and ^cc++++=and
counteracts ^nns+++??+=counteracts
powerful ^jj+atrb+++=powerful
private ^jj+atrb+++=private
lobbies ^nns++++=lobbies
( ^zz++++=(
17 ^cd++++=17
, ^zz++++=,
56 ^cd++++=56
, ^zz++++=,
95 ^cd++++=95
) ^zz++++=).
. ^zz++++=EXTRAWORD
