Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
equitable ^jj+atrb+++=equitable
community ^nn+nom+++=community
participation ^nn+nom+++=participation
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
present ^jj++++=present
in ^in++++=in
rural ^jj+atrb+++=rural
health ^nn++++=health
research ^nn++++=research,
, ^zz++++=EXTRAWORD
even ^rb++++=even
those ^dt+dem+++=those
that ^dt+pdem+++=that
take ^vb++++=take
a ^at++++=a
community ^nn+nom+++=community-engaged
- ^zz++++=EXTRAWORD
engaged ^vbd+++xvbn+=EXTRAWORD
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
A ^at++++=A
scoping ^jj+atrb++xvbg+=scoping
review ^nn++++=review
of ^in++++=of
community ^nn+nom+++=community
participation ^nn+nom+++=participation
in ^in++++=in
rural ^jj+atrb+++=rural
health ^nn++++=health
( ^zz++++=(
65 ^cd++++=65
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
only ^rb+down+++=only
six ^cd++++=six
articles ^nns++++=articles
globally ^rb++++=globally
that ^cs+sub+++=that
engaged ^xvbn+++xvbn+=engaged
participants ^nns+nom+++=participants
at ^in++++=at
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
shared ^jj+atrb++xvbn+=shared
leadership ^nn+nom+++=leadership;
; ^zz++++=EXTRAWORD
three ^cd++++=three
of ^in++++=of
these ^dt+pdem+++=these
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
in ^in++++=in
rural ^jj+atrb+++=rural
areas ^nns++++=areas
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States:
: ^zz++++=EXTRAWORD
in ^in++++=in
California ^np++++=California,
, ^zz++++=EXTRAWORD
Louisiana ^np+++??+=Louisiana,
, ^zz++++=EXTRAWORD
Tennessee ^np+nom+++=Tennessee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Virginia ^np++++=Virginia
( ^zz++++=(
12 ^cd++++=12
, ^zz++++=,
57 ^cd++++=57
, ^zz++++=,
63 ^cd++++=63
) ^zz++++=).
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
in ^in++++=in
all ^rb++++=all
six ^cd++++=six
projects ^nns++++=projects
despite ^in++++=despite
high ^jj+atrb+++=high
levels ^nns++++=levels
of ^in++++=of
coleadership ^nn+nom+++=coleadership,
, ^zz++++=EXTRAWORD
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
power ^nn++++=power
remained ^vbd+++xvbn+=remained
with ^in++++=with
the ^ati++++=the
health ^nn++++=health
professionals ^nns+nom+++=professionals
and ^cc++++=and
academic ^jj+atrb+++=academic
institution ^nn+nom+++=institution,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
parties ^nns++++=parties
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
financial ^jj+atrb+++=financial
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
pertinent ^jj+atrb+++=pertinent
takeaway ^nn+++??+=takeaway
was ^vbd+bedz+vrb++=was
the ^ati++++=the
suggestion ^nn+nom+++=suggestion
that ^tht+ncmp+++=that
limited ^vbd+++xvbn+=limited
resources ^nns++++=resources
within ^in++++=within
rural ^jj+atrb+++=rural
areas ^nns++++=areas
may ^md+pos+++=may
provide ^vb+vsua+++=provide
incentives ^nns++++=incentives
to ^in++++=to
work ^nn++++=work
collaboratively ^rb++++=collaboratively.
. ^zz++++=EXTRAWORD
Implementing ^vbg+++xvbg+=Implementing
community ^nn+nom+++=community-engaged
- ^zz++++=EXTRAWORD
engaged ^vbd+++xvbn+=EXTRAWORD
research ^nn++++=research
in ^in++++=in
rural ^jj+atrb+++=rural
areas ^nns++++=areas
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
diversity ^nn+nom+++=diversity
must ^md+nec+++=must
also ^rb++splt++=also
consider ^nn+nom+++=consider
balancing ^nn++++=balancing
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
different ^jj+atrb+++=different
experiences ^nns+nom+++=experiences
of ^in++++=of
different ^jj+atrb+++=different
