Most ^ql+emph+++=Most
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
questions ^nns+nom+++=questions
posed ^vbd+++xvbn+=posed
in ^in++++=in
social ^jj+atrb+++=social
epidemiology ^nn+++??+=epidemiology,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
collected ^vwbn+++xvbn+=collected,
, ^zz++++=EXTRAWORD
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
analyses ^nns++++=analyses
done ^vwbn+++xvbn+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
results ^nns++++=results
are ^vb+ber+aux++=are
interpreted ^vpsv++agls+xvbnx+=interpreted
are ^vb+ber+vrb++=are
all ^abn++++=all
shaped ^jj+++xvbn+=shaped
in ^in++++=in
part ^nn++++=part
by ^in++++=by
social ^jj+atrb+++=social
and ^cc+phrs+++=and
historical ^jj+atrb+++=historical
contexts ^nns++++=contexts
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
experiences ^nns+nom+++=experiences
and ^cc++++=and
backgrounds ^nns++++=backgrounds
of ^in++++=of
the ^ati++++=the
researchers ^nns+nom+++=researchers
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
For ^in++++=For
these ^dt+dem+++=these
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
ensuring ^vbg+vprv++xvbg+=ensuring
that ^tht+vcmp+++=that
researchers ^nns+nom+++=researchers
in ^in++++=in
social ^jj+atrb+++=social
epidemiology ^nn+++??+=epidemiology
reflect ^vb+vprv+++=reflect
diverse ^jj+atrb+++=diverse
backgrounds ^nns++++=backgrounds
and ^cc++++=and
lived ^vbd+++xvbn+=lived
experiences ^nns+nom+++=experiences
( ^zz++++=(in
in ^in++++=EXTRAWORD
addition ^nn+nom+++=addition
to ^in++++=to
different ^jj+atrb+++=different
disciplines ^nns++++=disciplines)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
fundamental ^jj+pred+++=fundamental
to ^in++++=to
the ^ati++++=the
scientific ^jj+atrb+++=scientific
rigor ^nn++++=rigor
of ^in++++=of
the ^ati++++=the
field ^nn++++=field
and ^cc++++=and
the ^ati++++=the
social ^jj+atrb+++=social
utility ^nn+nom+++=utility
of ^in++++=of
the ^ati++++=the
work ^nn++++=work
it ^pp3+it+++=it
produces ^vbz++++=produces.
. ^zz++++=EXTRAWORD
