Over ^in++++=Over
the ^ati++++=the
past ^jjb++++=past
few ^ap++++=few
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
cities ^nns++++=cities
have ^vb+hv+aux++=have
enacted ^vprf+++xvbnx+=enacted
policies ^nns++++=policies
to ^to++++=to
make ^vbi++++=make
urban ^jj+atrb+++=urban
food ^nn++++=food
systems ^nns++++=systems
more ^rbr++++=more
environmentally ^rb++++=environmentally
sustainable ^jj++++=sustainable.
. ^zz++++=EXTRAWORD
Much ^ap++++=Much
of ^in++++=of
this ^dt+dem+++=this
effort ^nn++++=effort
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
on ^in++++=on
reducing ^xvbg+++xvbg+=reducing
waste ^nn++++=waste
in ^in++++=in
the ^ati++++=the
food ^nn++++=food
system ^nn++++=system,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
to ^in++++=to
municipal ^jj+atrb+++=municipal
bans ^nn++++=bans
on ^in++++=on
various ^jj+atrb+++=various
forms ^nns++++=forms
of ^in++++=of
plastic ^nn++++=plastic
food ^nn++++=food
packaging ^nn++++=packaging,
, ^zz++++=EXTRAWORD
straws ^nns+++??+=straws,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
foam ^nn++++=foam
food ^nn++++=food
containers ^nns+nom+++=containers
( ^zz++++=(
74 ^cd++++=74
) ^zz++++=).
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
initiatives ^nns++++=initiatives
focus ^nn++++=focus
on ^in++++=on
reducing ^xvbg+++xvbg+=reducing
food ^nn++++=food
waste ^nn++++=waste
and ^cc++++=and
creating ^vbg+++xvbg+=creating
a ^at++++=a
circular ^jj+atrb+++=circular
economy ^nn++++=economy
by ^in++++=by
reusing ^xvbg+++xvbg+=reusing
food ^nn++++=food
scraps ^nns++++=scraps
as ^in++++=as
compost ^nn++++=compost,
, ^zz++++=EXTRAWORD
fertilizer ^nn+nom+++=fertilizer,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
biofuel ^nn+++??+=biofuel.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
have ^vb+hv+aux++=have
included ^vprf+++xvbnx+=included
policies ^nns++++=policies
to ^to++++=to
facilitate ^nn+nom+++=facilitate
food ^nn++++=food
donations ^nns+nom+++=donations,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
by ^in++++=by
limiting ^xvbg+++xvbg+=limiting
the ^ati++++=the
liability ^nn+nom+++=liability
of ^in++++=of
donors ^nns++++=donors
who ^whp+rel+subj++=who
give ^vb++++=give
away ^rb+phrv+++=away
excess ^jj+atrb+++=excess
food ^nn++++=food;
; ^zz++++=EXTRAWORD
strengthen ^vb++++=strengthen
urban ^jj+atrb+++=urban
rural ^jj+atrb+++=rural
food ^nn++++=food
distribution ^nn+nom+++=distribution
chains ^nns++++=chains
through ^in++++=through
support ^nn++++=support
for ^in++++=for
farmers ^nns+nom+++=farmers
markets ^nns++++=markets;
; ^zz++++=EXTRAWORD
expand ^vb++++=expand
public ^jj+atrb+++=public
infrastructure ^nn+++??+=infrastructure
to ^to++++=to
collect ^vbi++++=collect
food ^nn++++=food
waste ^nn++++=waste
for ^in++++=for
conversion ^nn++++=conversion
into ^in++++=into
animal ^nn++++=animal
feed ^nn++++=feed,
, ^zz++++=EXTRAWORD
fertilizer ^nn+nom+++=fertilizer,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
biofuels ^nns+++??+=biofuels;
; ^zz++++=EXTRAWORD
support ^nn++++=support
food ^nn++++=food
distributors ^nns++++=distributors
and ^cc++++=and
retailers ^nns+nom+++=retailers
who ^whp+rel+subj++=who
sell ^vb++++=sell
misshapen ^jj++++=misshapen
produce ^vb++++=produce
that ^dt+pdem+++=that
would ^md+prd+++=would
otherwise ^rb+cnj+++=otherwise
be ^vb+be+aux++=be
discarded ^vpsv++agls+xvbnx+=discarded
or ^cc++++=or
food ^nn++++=food
close ^nn++++=close
to ^to++++=to
sell ^vbi++++=sell-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
dates ^nns++++=dates
that ^tht+rel+subj++=that
would ^md+prd+++=would
be ^vb+be+aux++=be
wasted ^vpsv++agls+xvbnx+=wasted;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
provide ^vb+vsua+++=provide
incentives ^nns++++=incentives
to ^in++++=to
food ^nn++++=food
companies ^nns++++=companies
to ^to++++=to
encourage ^nn+nom+++=encourage
donations ^nns+nom+++=donations
of ^in++++=of
excess ^jj+atrb+++=excess
food ^nn++++=food
( ^zz++++=(
49 ^cd++++=49
) ^zz++++=).
. ^zz++++=EXTRAWORD
