During ^in++++=During
initial ^jj+atrb+++=initial
selection ^nn+nom+++=selection
and ^cc++++=and
sequencing ^nvbg+++xvbg+=sequencing,
, ^zz++++=EXTRAWORD
expansion ^nn++++=expansion
of ^in++++=of
the ^ati++++=the
database ^nn++++=database
led ^vbd+++xvbn+=led
to ^in++++=to
inclusion ^nn++++=inclusion
of ^in++++=of
a ^at++++=a
number ^nn++++=number
of ^in++++=of
additional ^jj+atrb+++=additional
individuals ^nns+nom+++=individuals
genotyped ^vbd+++xvbn+=genotyped
for ^in++++=for
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
plof ^nn+++??+=pLoF
variants ^nns+nom+++=variants,
, ^zz++++=EXTRAWORD
rs183902574 ^nn+++??+=rs183902574.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
performed ^vbd+++xvbn+=performed
custom ^nn++++=custom
calling ^vwbg+++xvbg+=calling
on ^in++++=on
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
354 ^cd++++=354
deemed ^vbd+++xvbn+=deemed
as ^ql++++=as
high ^jj++++=high-confidence
- ^zz++++=EXTRAWORD
confidence ^nn+nom+++=EXTRAWORD
carriers ^nns+nom+++=carriers
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
Table ^nn++++=Table
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^ql++++=As
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
Sanger ^np+++??+=Sanger
sequenced ^vbd+++xvbn+=sequenced,
, ^zz++++=EXTRAWORD
all ^abn++++=all
subsequent ^jj+atrb+++=subsequent
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vwbn+++xvbn+=performed
both ^abx++++=both
including ^in++++=including
and ^cc++++=and
excluding ^vbg+++xvbg+=excluding
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
