Like ^in++++=Like
race ^nn++++=race,
, ^zz++++=EXTRAWORD
Sep ^jj++++=SEP
is ^vbz+bez+vrb++=is
a ^at++++=a
strong ^jj+atrb+++=strong
determinant ^nn+nom+++=determinant
of ^in++++=of
health ^nn++++=health
( ^zz++++=(
1 ^zz++++=1
, ^zz++++=,
13 ^cd++++=13
, ^zz++++=,
20 ^cd++++=20
, ^zz++++=,
21 ^cd++++=21
, ^zz++++=,
29 ^cd++++=29
, ^zz++++=,
75 ^cd++++=75
, ^zz++++=,
93 ^cd++++=93
, ^zz++++=,
124 ^cd++++=124
) ^zz++++=).
. ^zz++++=EXTRAWORD
Sep ^jj++++=SEP
involves ^vbz++++=involves
an ^at++++=an
array ^nn++++=array
of ^in++++=of
resources ^nns++++=resources
that ^tht+rel+++=that
all ^abn++++=all
protect ^vb++++=protect
health ^nn++++=health,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
which ^whp+rel+pied++=which
health ^nn++++=health
mechanisms ^nns+nom+++=mechanisms
are ^vb+ber+vrb++=are
relevant ^jj+pred+++=relevant
at ^in++++=at
a ^at++++=a
given ^jj+atrb++xvbn+=given
time ^nn++++=time
( ^zz++++=(
75 ^cd++++=75
) ^zz++++=).
. ^zz++++=EXTRAWORD
Individuals ^nns+nom+++=Individuals
with ^in++++=with
substantial ^jj+atrb+++=substantial
income ^nn++++=income
and ^cc++++=and
assets ^nns++++=assets
work ^nn++++=work
in ^in++++=in
roles ^nns++++=roles
with ^in++++=with
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
job ^nn++++=job
security ^nn+nom+++=security,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fringe ^nn++++=fringe
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
including ^in++++=including
paid ^jj+atrb++xvbn+=paid
time ^nn++++=time
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
resources ^nns++++=resources
to ^to++++=to
navigate ^nn+nom+++=navigate
unexpected ^jj+atrb+++=unexpected
costs ^nns++++=costs,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
access ^nn++++=access
to ^in++++=to
healthy ^jj+atrb+++=healthy
foods ^nns++++=foods
and ^cc++++=and
safe ^jj+atrb+++=safe
green ^jj+atrb+++=green
spaces ^nns++++=spaces
for ^in++++=for
exercise ^nn++++=exercise
( ^zz++++=(
61 ^cd++++=61
, ^zz++++=,
73 ^cd++++=73
) ^zz++++=).
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
children ^nns++++=children
attend ^vb++++=attend
good ^jj+atrb+++=good
schools ^nns++++=schools
and ^cc++++=and
grow ^vb++++=grow
into ^in++++=into
well ^rb++++=well-paid
- ^zz++++=EXTRAWORD
paid ^vbd+++xvbn+=EXTRAWORD
jobs ^nns++++=jobs
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
( ^zz++++=(
125 ^cd++++=125
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
Relationships ^nns+nom+++=relationships
Are ^vb+ber+vrb++=are
Structural ^jj+pred+++=structural,
 ^zz++++=EXTRAWORD
Replicating ^jj++++=replicating,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
Determinative ^jj++++=determinative.
 ^zz++++=EXTRAWORD
