Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
acknowledging ^vbg+++xvbg+=acknowledging
the ^ati++++=the
historical ^jj+atrb+++=historical
and ^cc+phrs+++=and
increasing ^jj+atrb++xvbg+=increasing
diversity ^nn+nom+++=diversity
of ^in++++=of
rural ^jj+atrb+++=rural
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
an ^at++++=an
intersectional ^jj+atrb+++=intersectional
health ^nn++++=health
equity ^nn++++=equity
focus ^nn++++=focus
is ^vbz+bez+vrb++=is
imperative ^jj+pred+++=imperative
for ^in++++=for
Is ^vbz+bez+vrb++=IS
research ^nn++++=research
and ^cc++++=and
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
Intersectionality ^np+nom++??+=Intersectionality,
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
coined ^vprf+++xvbn+=coined
by ^in++++=by
legal ^jj+atrb+++=legal
scholar ^nn++++=scholar
K ^zz++++=K.
. ^zz++++=EXTRAWORD
Crenshaw ^np+++??+=Crenshaw
( ^zz++++=(
25 ^cd++++=25
) ^zz++++=),
, ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
carry ^vb++++=carry
multiple ^jj+atrb+++=multiple
identities ^nns+nom+++=identities
and ^cc++++=and
that ^tht+vcmp+++=that
each ^ppls++++=each
or ^cc++++=or
any ^dti++++=any
could ^md+pos+++=could
confer ^vb++++=confer
advantage ^nn+nom+++=advantage
or ^cc++++=or
disadvantage ^nn+nom+++=disadvantage.
. ^zz++++=EXTRAWORD
Intersectionality ^np+nom++??+=Intersectionality
emphasizes ^vbz+vpub+++=emphasizes
that ^tht+vcmp+++=that
sociodemographic ^jj++++=sociodemographic
attributes ^vbz++++=attributes
interact ^nn+++??+=interact
with ^in++++=with
social ^jj++++=social,
, ^zz++++=EXTRAWORD
political ^jj++++=political,
, ^zz++++=EXTRAWORD
regulatory ^nn++++=regulatory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
contextual ^jj+atrb+++=contextual
factors ^nns++++=factors
to ^in++++=to
shape ^nn++++=shape
privilege ^nn++++=privilege,
, ^zz++++=EXTRAWORD
power ^nn++++=power,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lived ^jj+atrb++xvbn+=lived
experiences ^nns+nom+++=experiences
among ^in++++=among
individuals ^nns+nom+++=individuals
at ^in++++=at
certain ^jj+atrb+++=certain
sociodemographic ^nn++++=sociodemographic
intersections ^nns+nom+++=intersections
that ^tht+rel+obj++=that
may ^md+pos+++=may
increase ^vb++++=increase
the ^ati++++=the
risk ^nn++++=risk
for ^in++++=for
health ^nn++++=health
inequities ^nns+nom+++=inequities
( ^zz++++=(
98 ^cd++++=98
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
116 ^cd++++=116).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
rurality ^nn+nom+++=rurality
is ^vbz+bez+vrb++=is
an ^at++++=an
additional ^jj+atrb+++=additional
axis ^nn++++=axis
of ^in++++=of
intersectionality ^nn+nom+++=intersectionality.
. ^zz++++=EXTRAWORD
