Like ^in++++=Like
previous ^jj+atrb+++=previous
food ^nn++++=food
crises ^nns++++=crises
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
created ^vprf+++xvbnx+=created
opportunities ^nns+nom+++=opportunities
for ^in++++=for
social ^jj+atrb+++=social
change ^nn++++=change
( ^zz++++=(
79 ^cd++++=79
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
disruptions ^nns+nom+++=disruptions
caused ^vwbn+++xvbn+=caused
by ^in++++=by
the ^ati++++=the
pandemic ^nn++++=pandemic
can ^md+pos+++=can
also ^rb++splt++=also
create ^vb++++=create
openings ^nns++++=openings
for ^in++++=for
systemic ^jj+atrb+++=systemic
change ^nn++++=change.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pandemic ^jj+atrb+++=pandemic's
's ^vbz+bez+vrb++0=EXTRAWORD
disruption ^nn+nom+++=disruption
of ^in++++=of
normal ^jj+atrb+++=normal
behaviors ^nns++++=behaviors,
, ^zz++++=EXTRAWORD
from ^in++++=from
business ^nns+nom+++=business
closures ^nns++++=closures
to ^in++++=to
social ^jj+atrb+++=social
distancing ^nvbg+++xvbg+=distancing,
, ^zz++++=EXTRAWORD
altered ^xvbn+++xvbn+=altered
expectations ^nns+nom+++=expectations
of ^in++++=of
how ^wrb+who+++=how
dramatically ^rb++++=dramatically
society ^nn++++=society
can ^md+pos+++=can
change ^vb++++=change
and ^cc++++=and
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
policy ^nn++++=policy
interventions ^nns+nom+++=interventions
that ^tht+rel+obj++=that
governments ^nns+nom+++=governments
and ^cc++++=and
businesses ^nns+nom+++=businesses
can ^md+pos+++=can
impose ^vb++++=impose.
. ^zz++++=EXTRAWORD
Disruptions ^nns+nom++??+=Disruptions
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
the ^ati++++=the
pandemic ^nn++++=pandemic
facilitate ^nn+nom+++=facilitate
questioning ^nvbg+++xvbg+=questioning
of ^in++++=of
existing ^xvbg+++xvbg+=existing
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
technologies ^nns+++??+=technologies,
, ^zz++++=EXTRAWORD
power ^nn++++=power
relationships ^nns+nom+++=relationships,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
norms ^nns++++=norms,
, ^zz++++=EXTRAWORD
enabling ^vbg+nom++xvbg+=enabling
advocates ^nns+nom+++=advocates
to ^to++++=to
propose ^vbi++++=propose
more ^rbr++++=more
desirable ^jj+atrb+++=desirable
alternatives ^nns++++=alternatives.
. ^zz++++=EXTRAWORD
Crises ^nns++++=Crises
can ^md+pos+++=can
increase ^vb++++=increase
engagement ^nn+nom+++=engagement
by ^in++++=by
those ^dt+dem+++=those
most ^ql+emph+++=most
affected ^jj+++xvbn+=affected,
, ^zz++++=EXTRAWORD
creating ^vbg+++xvbg+=creating
opportunities ^nns+nom+++=opportunities
for ^in++++=for
new ^jj+atrb+++=new
governance ^nn+nom+++=governance
arrangements ^nns+nom+++=arrangements
through ^in++++=through
increased ^vbd+++xvbn+=increased
public ^jj+atrb+++=public
participation ^nn+nom+++=participation.
. ^zz++++=EXTRAWORD
Problems ^nns++++=Problems
open ^jj+atrb+++=open
windows ^nns++++=windows
of ^in++++=of
opportunity ^nn+nom+++=opportunity
for ^in++++=for
innovative ^jj+atrb+++=innovative
and ^cc+phrs+++=and
experimental ^jj+atrb+++=experimental
initiatives ^nns++++=initiatives
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
advanced ^vpsv++by+xvbnx+=advanced
by ^in++++=by
policy ^nn++++=policy
entrepreneurs ^nns++++=entrepreneurs.
. ^zz++++=EXTRAWORD
Upended ^np+++??+=Upended
routines ^nns++++=routines
in ^in++++=in
the ^ati++++=the
wake ^nn++++=wake
of ^in++++=of
major ^jj+atrb+++=major
disasters ^nns+nom+++=disasters
can ^md+pos+++=can
also ^rb++splt++=also
accelerate ^nn+nom+++=accelerate
institutional ^jj+atrb+++=institutional
learning ^nn++++=learning,
, ^zz++++=EXTRAWORD
innovation ^nn+nom+++=innovation
adoption ^nn+nom+++=adoption,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
political ^jj+atrb+++=political
action ^nn++++=action.
. ^zz++++=EXTRAWORD
