Like ^in++++=Like
the ^ati++++=the
reduced ^jj+atrb++xvbn+=reduced
variants ^nns++++=variants,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coalesced ^vprf+++xvbn+=coalesced
variants ^nns++++=variants
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3
have ^vb+hv+aux++=have
experienced ^vprf+++xvbnx+=experienced
loss ^nn++++=loss
of ^in++++=of
medial ^nn+++??+=medial
consonants ^nns+++??+=consonants
and ^cc++++=and/or
change ^nn++++=change
in ^in++++=in
vowel ^nn+++??+=vowel
length ^rb++++=length
from ^in++++=from
the ^ati++++=the
full ^jj+atrb+++=full
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn++++=distinction
between ^in++++=between
reduced ^jj+++xvbn+=reduced
and ^cc++++=and
coalesced ^vprf+++xvbn+=coalesced
variants ^nns++++=variants
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
latter ^ap++++=latter
involve ^vb++++=involve
fusion ^nn++++=fusion
of ^in++++=of
the ^ati++++=the
auxiliary ^jj++++=auxiliary
and ^cc++++=and
pronoun ^nn++++=pronoun
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
morphemic ^jj+atrb+++=morphemic
unit ^nn++++=unit
( ^zz++++=(
Andersen ^np++++=Andersen
2001 ^cd++++=2001
: ^zz++++=:98).
98 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
proposal ^nn++++=proposal
that ^tht+ncmp+subj++=that
coalesced ^vprf+++xvbn+=coalesced
variants ^nns++++=variants
are ^vb+ber+aux++=are
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
related ^nn++++=related
reduced ^vwbn+++xvbn+=reduced
variants ^nns++++=variants
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
the ^ati++++=the
proposed ^jj+atrb++xvbn+=proposed
trajectories ^nns+++??+=trajectories
for ^in++++=for
innit ^nn+++??+=innit
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
( ^zz++++=(
Andersen ^np++++=Andersen
2001 ^cd++++=2001
; ^zz++++=;
Pichler ^np+++??+=Pichler
2013 ^cd++++=2013
) ^zz++++=)
and ^cc++++=and
the ^ati++++=the
understanding ^vb+++xvbg+=understanding
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
related ^vwbn+++xvbn+=related
forms ^nns++++=forms
with ^in++++=with
different ^jj+atrb+++=different
amounts ^nns++++=amounts
of ^in++++=of
reduction ^nn++++=reduction
are ^vb+ber+vrb++=are
in ^in++++=in
variation ^nn++++=variation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
reduced ^jj+atrb++xvbn+=reduced
form ^nn++++=form
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj++++=recent
( ^zz++++=(
hopper ^nn++++=Hopper
& ^zz++++=&
traugott ^np++++=Traugott
2003 ^cd++++=2003
: ^zz++++=:125).
125 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
