Like ^in++++=Like
gkis ^nns+++??+=gkis
, ^zz++++=,
ri ^nn+++??+=ri
l ^zz++++=l
* ^zz++++=*/
men ^nns++++=men
rarely ^rb++++=rarely
collocates ^nns+++??+=collocates
in ^in++++=in
a ^at++++=a
5 ^zz++++=5
window ^nn++++=window
with ^in++++=with
a ^at++++=a
f ^zz++++=f
l ^zz++++=l
children ^nns++++=children
( ^zz++++=(eight
eight ^cd++++=EXTRAWORD
times ^nns++++=times)
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
half ^nn++++=half
of ^in++++=of
those ^dt+dem+++=those
cases ^nns++++=cases
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
nis ^nns+++??+=nis
* ^zz++++=*
women ^nns++++=women
. ^zz++++=.
In ^in++++=In
these ^dt+dem+++=these
instances ^nns++++=instances,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corpus ^nn++++=corpus
speaks ^vbz++++=speaks
about ^in++++=about
populations ^nns++++=populations
or ^cc++++=or
groups ^nns++++=groups
of ^in++++=of
people ^nns++++=people
who ^whp+rel+obj++=who
experience ^nn++++=experience
communal ^jj+atrb+++=communal
violence ^nn++++=violence.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
conclusion ^nn++++=conclusion
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbn+=illustrated
well ^jj+pred+++=well
in ^in++++=in
figures ^nns++++=Figures
10 ^cd++++=10
and ^cc++++=and
11 ^cd++++=11
. ^zz++++=.
