Most ^ql+emph+++=Most
commonly ^rb++++=commonly
intensifiers ^nns+++??+=intensifiers
are ^vb+ber+aux++=are
investigated ^vpsv++agls+xvbnx+=investigated
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
adjectival ^jj+atrb+++=adjectival
modification ^nn++++=modification
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tagliamonte ^np+++??+=Tagliamonte
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
adjectives ^nns++++=adjectives
are ^vb+ber+vrb++=are
indeed ^qlp++++=indeed
common ^jj++++=common,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
the ^ati++++=the
most ^ql+emph+++=most
common ^jj++++=common,
, ^zz++++=EXTRAWORD
collocates ^nns+++??+=collocates
of ^in++++=of
intensifying ^nn+++??+=intensifying
modification ^nn++++=modification,
, ^zz++++=EXTRAWORD
other ^ap++++=other
collocates ^nns+++??+=collocates
or ^cc++++=or
targets ^nns++++=targets,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
will ^md+prd+++=will
call ^vb++++=call
them ^pp3o+pp3+++=them
to ^to++++=to
indicate ^vbi+vprv+++=indicate
more ^rbr++++=more
abstract ^jj+atrb+++=abstract
word ^nn++++=word-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
or ^cc++++=or
phrasal ^nn+++??+=phrasal
patterns ^nns++++=patterns
rather ^rb++++=rather
than ^in++++=than
specific ^jj+atrb+++=specific
lexical ^jj+atrb+++=lexical
items ^nns++++=items,
, ^zz++++=EXTRAWORD
occur ^vb++++=occur
as ^cs+sub+++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Target ^nn++++=Target
distributions ^nns++++=distributions
may ^md+pos+++=may
differ ^vb++++=differ
among ^in++++=among
individual ^jj+atrb+++=individual
intensifiers ^nns+++??+=intensifiers
and ^cc++++=and,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
Bolinger ^np+++??+=Bolinger
( ^zz++++=(1972)
1972 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
assumed ^vbd+vprv++xvbn+=assumed
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
little ^jj++++=little
to ^to++++=to
be ^vbi+vbi+aux++=be
restricted ^vpsv++agls+xvbnx+=restricted
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
section ^nn++++=section
2 ^zz++++=2),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
of ^in++++=of
interest ^nn++++=interest
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
closer ^rbr++++=closer
look ^vb++++=look
at ^rb++++=at
its ^pp$+it+++=its
modification ^nn++++=modification
patterns ^nns++++=patterns.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
4 ^zz++++=4
shows ^vbz+vprv+++=shows
its ^pp$+it+++=its
targets ^nns++++=targets
of ^in++++=of
modification ^nn++++=modification
to ^to++++=to
be ^vbi++vrb++=be
diverse ^jj+pred+++=diverse,
, ^zz++++=EXTRAWORD
including ^in++++=including
( ^zz++++=(in
in ^in++++=EXTRAWORD
decreasing ^xvbg+++xvbg+=decreasing
frequency ^nn++++=frequency)
) ^zz++++=EXTRAWORD
prepositional ^nn+++??+=prepositional
phrases ^nns++++=phrases,
, ^zz++++=EXTRAWORD
adjectives ^nns++++=adjectives,
, ^zz++++=EXTRAWORD
verbs ^nns++++=verbs,
, ^zz++++=EXTRAWORD
adverbs ^nns++++=adverbs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
participles ^nns++++=participles.
. ^zz++++=EXTRAWORD
