Analysing ^vbg+++xvbg+=Analysing
the ^ati++++=the
construction ^nn++++=construction
of ^in++++=of
women ^nns++++=women
in ^in++++=in
this ^dt+dem+++=this
subset ^nn+++??+=subset
of ^in++++=of
online ^nn+++??+=online
media ^nns++++=media
discourse ^nn++++=discourse
reveals ^vbz+vprv+++=reveals
that ^tht+vcmp+++=that
the ^ati++++=the
representations ^nns++++=representations
of ^in++++=of
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
Middle ^jjb++++=Middle
East ^np+pl+++=East
by ^in++++=by
media ^nn++++=media
outlets ^nns++++=outlets
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
bbc ^np++++=bbc
are ^vb+ber+vrb++=are
not ^xnot++not++=not
just ^rb+emph+++=just
a ^at++++=a
result ^nn++++=result
of ^in++++=of
editorial ^jj+atrb+++=editorial
bias ^nn++++=bias.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn++++=evidence
presented ^vwbn+++xvbn+=presented
here ^rn+pl+++=here
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
discursive ^nn+++??+=discursive
representations ^nns++++=representations
of ^in++++=of
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
news ^nn++++=news
and ^cc++++=and
in ^in++++=in
liberal ^jj++++=liberal
and ^cc++++=and
left ^vbd+++xvbn+=left-leaning
- ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=EXTRAWORD
political ^jj+atrb+++=political
discourses ^nns++++=discourses
are ^vb+ber+aux++=are
informed ^vpsv++by+xvbnx+=informed
by ^in++++=by
a ^at++++=a
conception ^nn++++=conception
of ^in++++=of
agency ^nn++++=agency
as ^in++++=as
the ^ati++++=the
free ^jj+atrb+++=free
exercise ^nn++++=exercise
of ^in++++=of
self ^nn++++=self-willed
- ^zz++++=EXTRAWORD
willed ^vbd+++xvbn+=EXTRAWORD
behaviour ^nn++++=behaviour
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
directed ^vpsv++agls+xvbnx+=directed
at ^rb++++=at
what ^wdt+who+++=what
the ^ati++++=the
individual ^nn++++=individual
deems ^vbz++++=deems
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
her ^pp$+pp3+++=her
interest ^nn++++=interest
( ^zz++++=(
Mack ^np++++=Mack,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
: ^zz++++=:
149 ^cd++++=149).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
notion ^nn++++=notion
of ^in++++=of
agency ^nn++++=agency
rather ^rb++++=rather
than ^in++++=than
close ^jj+atrb+++=close
familiarity ^nn++++=familiarity
with ^in++++=with
the ^ati++++=the
complex ^nn++++=complex
lived ^vbd+++xvbn+=lived
reality ^nn++++=reality
of ^in++++=of
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
dictates ^vbz+vsua+++=dictates
how ^wrb+who+whcl++=how
Saudi ^np+++??+=Saudi
and ^cc++++=and
Kurdish ^np+++??+=Kurdish
women ^nns++++=women
are ^vb+ber+aux++=are
represented ^vpsv++agls+xvbnx+=represented
in ^in++++=in
the ^ati++++=the
news ^nn++++=news
and ^cc++++=and
in ^in++++=in
liberal ^jj+atrb+++=liberal
and ^cc+phrs+++=and
leftist ^jj+atrb++??+=leftist
politics ^nn++++=politics.
. ^zz++++=EXTRAWORD
The ^ati++++=The
semantic ^jj+atrb+++=semantic
prosodies ^nns+++??+=prosodies
that ^tht+rel+obj++=that
women* ^nn+++??+=women*
nis ^nns+++??+=nis
* ^zz++++=*
