Hay ^nn++++=Hay,
, ^zz++++=EXTRAWORD
Jannedy ^np+++??+=Jannedy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mendoza ^np+++??+=Mendoza-Denton
- ^zz++++=EXTRAWORD
denton ^np++++=EXTRAWORD
( ^zz++++=(1999)
1999 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
present ^vb++++=present
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
speech ^nn++++=speech
of ^in++++=of
Black ^jj+atrb+++=Black
television ^nn++++=television
host ^nn++++=host
Oprah ^np+++??+=Oprah
Winfrey ^np+++??+=Winfrey,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
examining ^jj+++xvbg+=examining
her ^pp3o+pp3+++=her
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
vowel ^nn+++??+=vowel
when ^wrb+who+++=when
discussing ^vbg+++xvbg+=discussing
absent ^jj+atrb+++=absent
interlocutors ^nns++++=interlocutors
with ^in++++=with
the ^ati++++=the
studio ^nn++++=studio
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
Winfrey ^np+++??+=Winfrey
is ^vbz+bez+vrb++=is
significantly ^rb++++=significantly
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
use ^vbi++++=use
a ^at++++=a
more ^rbr++++=more
monophthongal ^jj+atrb+++=monophthongal
production ^nn+nom+++=production
of ^in++++=of
when ^wrb+who+++=when
discussing ^vbg+++xvbg+=discussing
a ^at++++=a
Black ^jj++++=Black
individual ^jj++++=individual
than ^in++++=than
when ^wrb+who+++=when
discussing ^vbg+++xvbg+=discussing
a ^at++++=a
white ^jj++++=white
individual ^jj++++=individual.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
attribute ^vb++++=attribute
this ^dt+dem+++=this
pattern ^nn++++=pattern
to ^in++++=to
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
referee ^nn++++=referee
design ^nn++++=design
phenomena ^nns++++=phenomena
described ^vwbn+++xvbn+=described
by ^in++++=by
Bell ^nn++++=Bell
( ^zz++++=(2001)
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
mention ^nn+nom+++=mention
of ^in++++=of
a ^at++++=a
Black ^jj+atrb+++=Black
guest ^nn++++=guest
can ^md+pos+++=can
trigger ^vb++++=trigger
Winfrey ^np+++??+=Winfrey
to ^to++++=to
shift ^vbi++++=shift
towards ^in++++=towards
a ^at++++=a
style ^nn++++=style
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
may ^md+pos+++=may
associate ^nn+nom+++=associate
with ^in++++=with
that ^dt+dem+++=that
guest ^nn++++=guest,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
herself ^ppl+pp3+++=herself
may ^md+pos+++=may
be ^vb+be+vrb++=be
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
use ^vbi++++=use
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
were ^vbd+bed+aux++=were
speaking ^vbg+++xvbgx+=speaking
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
builds ^vbz++++=builds
also ^rb++++=also
on ^in++++=on
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
Rickford ^np+++??+=Rickford
and ^cc++++=and
Mcnair ^np+++??+=McNair-Knox
- ^zz++++=EXTRAWORD
knox ^np++++=EXTRAWORD
( ^zz++++=(1994)
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
it ^pp3+it+++=it
more ^rbr++++=more
explicitly ^rb++++=explicitly
shows ^vbz+vprv+++=shows
how ^wrb+who+whcl++=how
Black ^jj+atrb+++=Black
speakers ^nns+nom+++=speakers
may ^md+pos+++=may
alter ^vb++++=alter
their ^pp$+pp3+++=their
use ^nn++++=use
of ^in++++=of
a ^at++++=a
specific ^jj++++=specific
phonetic ^jj++++=phonetic
variable ^jj++++=variable
as ^ql++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
referee ^nn++++=referee
design ^nn++++=design
even ^rb++++=even
when ^wrb+who+++=when
the ^ati++++=the
relevant ^jj+atrb+++=relevant
interlocutors ^nns++++=interlocutors
are ^vb+ber+vrb++=are
not ^xnot++not++=not
physically ^rb++++=physically
present ^jj++++=present.
. ^zz++++=EXTRAWORD
