Support ^nn++++=Support
for ^in++++=for
Goldberg ^np+++??+=Goldberg
s ^zz++++=s
claim ^nn++++=claim
depends ^vbz++++=depends
largely ^rb++++=largely
on ^in++++=on
the ^ati++++=the
features ^nns++++=features
that ^tht+rel+++=that
one ^cd1++++=one
considers ^nns+nom+++=considers
criterial ^jj++++=criterial
for ^in++++=for
Svcs ^np+++??+=SVCs,
, ^zz++++=EXTRAWORD
since ^in++++=since
the ^ati++++=the
notion ^nn++++=notion
of ^in++++=of
a ^at++++=a
Svc ^np+++??+=SVC
has ^vbz+hvz+aux++=has
itself ^ppl++++=itself
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
delimited ^vpsv++agls+xvbnx+=delimited
clearly ^rb++++=clearly
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
typological ^jj+atrb+++=typological
surveys ^nns++++=surveys
in ^in++++=in
Foley ^np+++??+=Foley
and ^cc++++=and
Olson ^np++++=Olson
( ^zz++++=(1985)
1985 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
Aikhenvald ^np+++??+=Aikhenvald
and ^cc++++=and
Dixon ^np++++=Dixon
( ^zz++++=(2006)
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
Bisang ^np+++??+=Bisang
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
and ^cc+cls+++=and
Shibatani ^np+++??+=Shibatani
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
and ^cc+cls+++=and
on ^in++++=on
recent ^jj+atrb+++=recent
work ^nn++++=work
by ^in++++=by
Cleary ^np+++??+=Cleary-Kemp
- ^zz++++=EXTRAWORD
kemp ^np++++=EXTRAWORD
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Haspelmath ^np+++??+=Haspelmath
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
isolate ^nn+nom+++=isolate
a ^ap++++=a
few ^ap"++++=few
basic ^jj+atrb+++=basic
properties ^nns++++=properties
of ^in++++=of
Svcs ^np+++??+=SVCs
which ^whp+rel+obj++=which
recur ^nn+++??+=recur
and ^cc++++=and
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
direct ^nn++++=direct
bearing ^vwbg+++xvbg+=bearing
on ^in++++=on
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
vv ^np++++=VV
ing ^nn++++=ing
obl ^np++++=OBL
construction ^nn+nom+++=construction:
: ^zz++++=EXTRAWORD
