Following ^jj+++xvbg+=Following
the ^ati++++=the
implication ^nn+nom+++=implication
of ^in++++=of
complementarity ^nn+nom+++=complementarity
in ^in++++=in
Murray ^np++++=Murray,
, ^zz++++=EXTRAWORD
Frazer ^np++++=Frazer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Simon ^np++++=Simon
( ^zz++++=(1996)
1996 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
Doyle ^np+++??+=Doyle
( ^zz++++=(2014
2014 ^cd++++=EXTRAWORD
: ^zz++++=:104)
104 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
searched ^vbd+++xvbn+=searched
for ^in++++=for
tweets ^nns+++??+=tweets
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
strings ^nns++++=strings
needs ^vb++++=needs
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
, ^zz++++=,
needs ^vbz++++=needs
done ^vbd+++xvbn+=done
, ^zz++++=,
and ^cc+cls+++=and
needs ^nns++++=needs
doing ^vwbg+++xvbg+=doing
. ^zz++++=.
He ^pp3a+pp3+++=He
mapped ^vbd+++xvbnx+=mapped
locations ^nns+nom+++=locations
of ^in++++=of
tweets ^nns+++??+=tweets
from ^in++++=from
the ^ati++++=the
continental ^jj+atrb+++=continental
United ^np++++=United
States ^nns++++=States
that ^tht+rel+subj++=that
contained ^vwbn+++xvbn+=contained
these ^dt+dem+++=these
three ^cd++++=three
strings ^nns++++=strings
and ^cc++++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
need ^nn++++=need
+ ^zz++++=+TO
to ^in++++=EXTRAWORD
string ^nn++++=string
is ^vbz+bez+vrb++=is
acceptable ^jj+pred+++=acceptable
in ^in++++=in
most ^ql+emph+++=most
locations ^nns+nom+++=locations,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
[ ^zz++++=[
need ^nn++++=need
+ ^zz++++=+ING]
ing ^jj+++xvbg+=EXTRAWORD
] ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
strongest ^jjt+pred+++=strongest
in ^in++++=in
the ^ati++++=the
areas ^nns++++=areas
where ^wrb+who+++=where
[ ^zz++++=[
need ^nn++++=need
+ ^zz++++=+ED]
ed ^np++++=EXTRAWORD
] ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
not ^xnot++not++=not
used ^vbd+++xvbn+=used,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
empirical ^jj+atrb+++=empirical
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
need ^nn++++=need
+ ^zz++++=+ING
ing ^jj+++xvbg+=EXTRAWORD
and ^cc++++=and
need ^nn++++=need
+ ^zz++++=+ED
ed ^np++++=EXTRAWORD
are ^vb+ber+vrb++=are
complementary ^jj+atrb+++=complementary
variants ^nns+nom+++=variants
in ^in++++=in
the ^ati++++=the
united ^np++++=United
states ^nns++++=States
( ^zz++++=(
doyle ^np++++=Doyle
2014 ^cd++++=2014
: ^zz++++=:104-105).
104 ^cd++++=EXTRAWORD
-105). ^nn++++=EXTRAWORD
