Like ^in++++=Like
goose ^nn++++=goose
, ^zz++++=,
goat ^nn++++=goat
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
includes ^vb++++=includes
boat ^nn++++=boat
and ^cc++++=and
toe ^nn++++=toe
) ^zz++++=)
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
stable ^nn++++=stable
over ^in++++=over
time ^nn++++=time:
: ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
two ^cd++++=two
generations ^nns+nom+++=generations
first ^rb++++=first
among ^in++++=among
the ^ati++++=the
G.i ^np++++=G.I.
. ^zz++++=EXTRAWORD
Generation ^nn+nom+++=Generation
women ^nns++++=women
and ^cc++++=and
then ^rn+tm+++=then
among ^in++++=among
the ^ati++++=the
Silent ^jj+atrb+++=Silent/Boomer
Generation ^nn+nom+++=Generation
men ^nns++++=men
goat ^nn++++=goat
lowered ^vbd+++xvbn+=lowered
in ^in++++=in
the ^ati++++=the
vowel ^nn+++??+=vowel
space ^nn++++=space.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
confirms ^vbz+vpub+++=confirms
observations ^nns+nom+++=observations
that ^tht+ncmp+obj++=that
goat ^nn++++=goat
lowered ^vbd+++xvbn+=lowered
after ^in++++=after
1900 ^cd+date+++=1900,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
demographic ^nn++++=demographic
shifts ^vbz++++=shifts
after ^in++++=after
the ^ati++++=the
Civil ^jj+atrb+++=Civil
War ^nn++++=War
( ^zz++++=(
Thomas ^np++++=Thomas
2004 ^cd++++=2004
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Thomas ^np++++=Thomas
describes ^vbz++++=describes
the ^ati++++=the
nucleus ^nn++++=nucleus
of ^in++++=of
goat ^nn++++=goat
as ^in++++=as
the ^ati++++=the
element ^nn+nom+++=element
that ^tht+rel+++=that
lowers ^nn++++=lowers
( ^zz++++=(
Thomas ^np++++=Thomas
2007 ^cd++++=2007
; ^zz++++=;
Thomas ^np++++=Thomas
& ^zz++++=&
Coggshall ^np+++??+=Coggshall
2014 ^cd++++=2014
) ^zz++++=),
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
data ^nns++++=data
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
both ^abx++++=both
the ^ati++++=the
nucleus ^nn++++=nucleus
and ^cc++++=and
the ^ati++++=the
glide ^vb++++=glide
lower ^jjr++++=lower
since ^cs+sub+++=since
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
an ^at++++=an
appreciable ^jj+atrb+++=appreciable
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
trajectory ^nn++++=trajectory
shape ^nn++++=shape.
. ^zz++++=EXTRAWORD
