Mmmmm ^np+++??+=Mmmmm
Ok ^rb+dspt+++=Ok
But ^cc+phrs+++=But
then ^rn+tm+++=then
who ^whp+who+++=who
decides ^vbz+vprv+++=decides,
, ^zz++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
taste ^nn++++=taste
is ^vbz+bez+vrb++=is
too ^ql++++=too
similar ^jj++++=similar
to ^in++++=to
Coca ^np+++??+=Coca
Cola ^np+++??+=Cola
of ^in++++=of
that ^cs+sub+++=that
this ^dt+dem+++=this
fake ^jj+atrb+++=fake
perfume ^nn++++=perfume
is ^vbz+bez+vrb++=is
too ^ql++++=too
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
original ^jj+atrb+++=original
one ^cd1++++=one
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
generic ^jj+atrb+++=generic
Cola ^np+++??+=Cola
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
perfume ^nn++++=perfume
copies ^nns++++=copies
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
comes ^vbz++++=comes
to ^to++++=to
smell ^vbi++++=smell
and ^cc++++=and
taste ^nn++++=taste
is ^vbz+bez+vrb++=is
n't ^xnot++not++0=n't
it ^pp3+it+++=it
partly ^rb+down+++=partly
subjective ^jj++++=subjective?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
hear ^vb+vprv+++=hear
before ^cs+sub+++=before
cases ^nns++++=cases
where ^wrb+who+++=where
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
litigation ^nn+nom+++=litigation
for ^in++++=for
a ^at++++=a
song ^nn++++=song
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
copied ^vpsv++agls+xvbnx+=copied
and ^cc++++=and
that ^cs+sub+++=that
violated ^vprf+++xvbn+=violated
copyrights ^nns+++??+=copyrights
and ^cc++++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
send ^vb++++=send
an ^at++++=an
expert ^nn++++=expert
on ^in++++=on
harmonics ^nns++++=harmonics
or ^cc++++=or
something ^pn++++=something
to ^to++++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
similarity ^nn+nom+++=similarity
with ^in++++=with
the ^ati++++=the
original ^jj++++=original
But ^cc++++=But
taste ^nn++++=taste
and ^cc++++=and
smell ^nn++++=smell
? ^zz++++=??
? ^zz++++=EXTRAWORD
reply ^nn++++=Reply
4 ^zz++++=4
user ^nn++++=User
m4 ^nn++++=m4
153 ^cd++++=153
