Like ^in++++=Like
the ^ati++++=the
analysis ^nn++++=analysis
presented ^vwbn+++xvbn+=presented
in ^in++++=in
section ^nn++++=section
4.1 ^cd++++=4.1,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
part ^nn++++=part
relies ^vbz++++=relies
on ^in++++=on
text ^nn++++=text-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
frequencies ^nns++++=frequencies
but ^cc++++=but
adds ^vbz+vpub+++=adds
a ^at++++=a
variable ^nn++++=variable,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely,
, ^zz++++=EXTRAWORD
year ^nn++++=year
. ^zz++++=.
Figures ^nns++++=Figures
3 ^zz++++=3
5 ^zz++++=5
show ^nn++++=show
how ^wrb+who+++=how
the ^ati++++=the
frequencies ^nns++++=frequencies
of ^in++++=of
so ^ql++++=so
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
) ^zz++++=),
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
too ^ql++++=too
( ^zz++++=(
Figure ^np++++=Figure
5 ^zz++++=5
) ^zz++++=)
vary ^vb++++=vary
as ^in++++=as
a ^at++++=a
function ^nn++++=function
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
Loess ^np+++??+=LOESS
scatterplot ^nn+++??+=scatterplot
smoothers ^nns+++??+=smoothers
and ^cc++++=and
95 ^cd++++=95
percent ^nnu++++=percent
confidence ^nn++++=confidence
intervals ^nns++++=intervals
( ^zz++++=(grey
grey ^np++++=EXTRAWORD
ribbon ^nn++++=ribbon);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Pearson ^np++++=Pearson
correlation ^nn++++=correlation
coefficients ^nns++++=coefficients
are ^vb+ber+aux++=are
also ^rb++splt++=also
displayed ^vpsv++agls+xvbnx+=displayed
for ^in++++=for
each ^dt++++=each
category ^nn++++=category.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smoother ^nn+++??+=smoother
represents ^vbz++++=represents
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
variables ^nns++++=variables
( ^zz++++=(year
year ^nn++++=EXTRAWORD
and ^cc++++=and
normalized ^jj+atrb++??+=normalized
frequency ^nn++++=frequency)
) ^zz++++=EXTRAWORD
visually ^rb+cnj+++=visually,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Pearson ^np++++=Pearson
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
( ^zz++++=(R)
r ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
shows ^vbz+vprv+++=shows
the ^ati++++=the
strength ^nn++++=strength
and ^cc++++=and
direction ^nn++++=direction
of ^in++++=of
linear ^jj+atrb+++=linear
correlation ^nn++++=correlation
between ^in++++=between
them ^pp3o+pp3+++=them
( ^zz++++=(values
values ^nns++++=EXTRAWORD
range ^nn++++=range
from ^in++++=from
- ^zz++++=-1
1 ^zz++++=EXTRAWORD
to ^to++++=to
+ ^zz++++=+1).
1 ^zz++++=EXTRAWORD
). ^nn++++=EXTRAWORD
