Many ^ap++++=Many
health ^nn++++=health
care ^nn++++=care
advisors ^nns++++=advisors
advocate ^nn+nom+++=advocate
eating ^vwbg+++xvbg+=eating
virgin ^jjb+atrb+++=virgin/organic
coconut ^nn++++=coconut
oil ^nn++++=oil
for ^in++++=for
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
health ^nn++++=health
benefits ^nns++++=benefits
even ^cs+sub+++=even
though ^cs+sub+++=though
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
high ^jj+pred+++=high
in ^in++++=in
saturated ^vbd+++xvbn+=saturated
fats ^nns+++??+=fats.
. ^zz++++=EXTRAWORD
Coconut ^np+++??+=Coconut
oil ^nn++++=oil
contains ^vbz++++=contains
lauric ^jj++++=lauric
acid ^jj++++=acid,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
medium ^nn++++=medium-chain
- ^zz++++=EXTRAWORD
chain ^nn++++=EXTRAWORD
fatty ^jj+atrb+++=fatty
acid ^nn++++=acid,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
converts ^vbz++++=converts
to ^in++++=to
monolaurin ^nn+++??+=monolaurin.
. ^zz++++=EXTRAWORD
Monolaurin ^np+++??+=Monolaurin
is ^vbz+bez+vrb++=is
the ^ati++++=the
compound ^nn++++=compound
found ^vbd+vprv++xvbn+=found
in ^in++++=in
breast ^nn++++=breast
milk ^nn++++=milk
that ^tht+rel+subj++=that
strengthens ^vbz++++=strengthens
a ^at++++=a
baby ^nn++++=baby's
's ^$++++=EXTRAWORD
immunity ^nn+nom+++=immunity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
research ^nn++++=research
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
to ^to++++=to
establish ^vbi+vprv+++=establish
the ^ati++++=the
ability ^nn+nom+++=ability
of ^in++++=of
lauric ^jj++++=lauric
acid ^jj++++=acid
to ^to++++=to
enhance ^nn+nom+++=enhance
immunity ^nn+nom+++=immunity.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
medium ^nn++++=medium-chain
- ^zz++++=EXTRAWORD
chain ^nn++++=EXTRAWORD
fatty ^jj+atrb+++=fatty
acid ^nn++++=acid
( ^zz++++=(MCFA)
mcfa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
actually ^rb+amp+++=actually
disrupts ^vbz++++=disrupts
the ^ati++++=the
lipid ^nn+++??+=lipid
membranes ^nns+nom+++=membranes
of ^in++++=of
offending ^xvbg+++xvbg+=offending
organisms ^nns+nom+++=organisms
such ^abl++++=such
as ^ql++++=as
yeast ^nn++++=yeast,
, ^zz++++=EXTRAWORD
fungal ^jj++++=fungal
and ^cc++++=and
bacteria ^nns++++=bacteria
living ^vwbg+++xvbg+=living
in ^in++++=in
our ^pp$+pp1+++=our
gut ^vb++++=gut.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
main ^jjb+atrb+++=main
reason ^nn++++=reason
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
consume ^vb++++=consume
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Reply ^nn++++=Reply
7 ^zz++++=7
User ^nn++++=User
n4 ^nn+++??+=n4
2611 ^cd++++=2611
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
about ^in++++=about
the ^ati++++=the
poor ^jj+atrb+++=poor
evidence ^nn+nom+++=evidence
in ^in++++=in
saturated ^vbd+++xvbn+=saturated
fat ^nn++++=fat
but ^cc++++=but
as ^ql++++=as
I ^pp1a+pp1+++=I
understand ^vb+vprv+tht0++=understand
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
enough ^dt++++=enough
research ^nn++++=research
( ^zz++++=(as
as ^in++++=EXTRAWORD
far ^in"+pl+++=far
as ^in"++++=as
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know)
) ^zz++++=EXTRAWORD
done ^vprf+++xvbn+=done
on ^in++++=on
coconut ^nn++++=coconut
oil ^nn++++=oil
to ^to++++=to
prove ^vbi+vprv+++=prove
its ^pp$+it+++=its
benefits ^nns++++=benefits.
. ^zz++++=EXTRAWORD
reply ^nn++++=Reply
8 ^zz++++=8
user ^nn++++=User
n4 ^nn++++=n4
2611 ^cd++++=2611
