On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
keywords ^nns+++??+=keywords
referring ^vwbg+++xvbg+=referring
to ^in++++=to
political ^jj+atrb+++=political
agents ^nns++++=agents
( ^zz++++=(
right ^jj++++=right
, ^zz++++=,
left ^j+++xvbn+=left
, ^zz++++=,
people ^nns++++=people
, ^zz++++=,
public ^jj++++=public
, ^zz++++=,
class ^nn++++=class
and ^cc++++=and
movements ^nns++++=movements
) ^zz++++=)
and ^cc++++=and
words ^nns++++=words
for ^in++++=for
key ^jjb+atrb+++=key
concepts ^nns++++=concepts
in ^in++++=in
the ^ati++++=the
liberal ^jj+atrb+++=liberal
political ^jj+atrb+++=political
lexicon ^nn+++??+=lexicon
( ^zz++++=(
democracy ^nn++++=democracy
, ^zz++++=,
citizenship ^nn++++=citizenship
, ^zz++++=,
life ^nn++++=life
and ^cc++++=and
just ^rb+emph+++=just
) ^zz++++=),
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
occur ^vb++++=occur
with ^in++++=with
high ^jj+atrb+++=high
frequency ^nn++++=frequency
in ^in++++=in
gkis ^nns+++??+=gkis
, ^zz++++=,
do ^vb+do+aux++=do
not ^xnot++not++=not
occur ^vb++++=occur
with ^in++++=with
equally ^rb++++=equally
high ^jj+atrb+++=high
frequency ^nn++++=frequency
in ^in++++=in
apic ^nn+++??+=apic
. ^zz++++=.
These ^dt+dem+++=These
differences ^nns++++=differences
highlight ^nn++++=highlight
gkis ^nns+++??+=gkis
' ^zz++++='s
s ^zz++++=EXTRAWORD
left ^vbd+++xvbn+=left-leaning
- ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=EXTRAWORD
and ^cc++++=and
activist ^jj+atrb++??+=activist
political ^jj+atrb+++=political
orientation ^nn++++=orientation
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
its ^pp$+it+++=its
polemical ^nn++++=polemical
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
