Most ^ql+emph+++=Most
threads ^nns++++=threads
have ^vb+hv+vrb++=have
fewer ^ap++++=fewer
than ^in++++=than
five ^cd++++=five
replies ^vbz+vpub+++=replies
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
29,354 ^cd++++=29,354),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
threads ^nns++++=threads
containing ^vwbg+++xvbg+=containing
more ^rbr++++=more
than ^in++++=than
20 ^cd++++=20
replies ^vbz+vpub+++=replies
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
41 ^cd++++=41),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
. ^zz++++=.
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
threaded ^jj+atrb++xvbn+=threaded
structure ^nn++++=structure
among ^in++++=among
replies ^nn++++=replies
underneath ^in+pl+++=underneath
a ^at++++=a
post ^nn++++=post,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
replies ^nns++++=replies
are ^vb+ber+aux++=are
ordered ^vpsv++by+xvbnx+=ordered
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
posting ^nn++++=posting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interface ^nn+++??+=interface
of ^in++++=of
the ^ati++++=the
online ^nn+++??+=online
discussions ^nns++++=discussions
is ^vbz+bez+aux++=is
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
2 ^zz++++=2
. ^zz++++=.
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
high ^jj++++=high-res
- ^zz++++=EXTRAWORD
res ^nns+++??+=EXTRAWORD
image ^nn++++=image
( ^zz++++=(742KB)
742kb ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
full ^jj++++=full-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
image ^nn++++=image
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
. ^zz++++=.
Number ^nn++++=Number
of ^in++++=of
threads ^nns++++=threads
of ^in++++=of
different ^jj+atrb+++=different
lengths ^nns++++=lengths
across ^in+pl+++=across
the ^ati++++=the
12 ^cd++++=12
Moocs ^np+++??+=MOOCs.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
tile ^nn++++=tile
indicates ^nns+nom+++=indicates
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
threads ^nns++++=threads
of ^in++++=of
a ^at++++=a
particular ^jj++++=particular
length ^rb++++=length.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shading ^jj+++xvbg+=shading
of ^in++++=of
the ^ati++++=the
tiles ^nns++++=tiles
indicates ^nns+nom+++=indicates
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
threads ^nns++++=threads
that ^tht+rel+subj++=that
correspond ^vb++++=correspond
with ^in++++=with
that ^dt+dem+++=that
particular ^jj++++=particular
length ^rb++++=length
in ^in++++=in
a ^at++++=a
particular ^jj+atrb+++=particular
Mooc ^np+++??+=MOOC.
. ^zz++++=EXTRAWORD
The ^ati++++=The
length ^nn++++=length
of ^in++++=of
threads ^nns++++=threads
starts ^vbz++++=starts
from ^in++++=from
2 ^zz++++=2
as ^in++++=as
the ^ati++++=the
shortest ^jjt+atrb+++=shortest
thread ^nn++++=thread
contain ^vb++++=contain
one ^cd1++++=one
initiating ^jj+atrb+++=initiating
post ^nn++++=post
and ^cc++++=and
one ^cd1++++=one
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
high ^jj++++=high-res
- ^zz++++=EXTRAWORD
res ^nns+++??+=EXTRAWORD
image ^nn++++=image
( ^zz++++=(950KB)
950kb ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
full ^jj++++=full-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
image ^nn++++=image
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
2 ^zz++++=2
. ^zz++++=.
The ^ati++++=The
commenting ^jj+atrb++xvbg+=commenting
space ^nn++++=space
below ^rb++++=below
each ^ppls++++=each
learning ^vbg+vprv++xvbg+=learning
page ^nn++++=page
of ^in++++=of
a ^at++++=a
mooc ^np++++=MOOC.
. ^zz++++=EXTRAWORD
