Both ^abx++++=Both
Ame ^np+++??+=AmE
and ^cc++++=and
Bre ^np+++??+=BrE
follow ^vb+vprv+++=follow
the ^ati++++=the
same ^ap++++=same
basic ^jj+atrb+++=basic
pattern ^nn++++=pattern
( ^zz++++=(
Table ^np++++=Table
4 ^zz++++=4
) ^zz++++=),
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
preference ^nn+nom+++=preference
for ^in++++=for
definite ^jj+atrb+++=definite
Nps ^np+++??+=NPs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
antecedent ^jj+atrb+++=antecedent
analysis ^nn++++=analysis
flagged ^vbd+++xvbn+=flagged
up ^rp++++=up
those ^dt+dem+++=those
cases ^nns++++=cases
where ^wrb+who+++=where
multiple ^jj+atrb+++=multiple
tokens ^nns++++=tokens
of ^in++++=of
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
one ^cd1++++=one
text ^nn++++=text.
. ^zz++++=EXTRAWORD
Details ^nns++++=Details
about ^in++++=about
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
individual ^jj+atrb+++=individual
texts ^nns++++=texts
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided
in ^in++++=in
the ^ati++++=the
Appendix ^nn++++=Appendix
; ^zz++++=;
the ^ati++++=the
vast ^jj+atrb+++=vast
majority ^nn+nom+++=majority
of ^in++++=of
texts ^nns++++=texts
( ^zz++++=(78.45
78.45 ^cd++++=EXTRAWORD
percent ^nnu++++=percent)
) ^zz++++=EXTRAWORD
included ^vbd+++xvbn+=included
only ^rb+down+++=only
one ^cd1++++=one
combined ^jj+atrb+++=combined
pronoun ^nn++++=pronoun.
. ^zz++++=EXTRAWORD
