Most ^ql+emph+++=Most
prominent ^jj++++=prominent
among ^in++++=among
mental ^jj+atrb+++=mental
states ^nns++++=states
is ^vbz+bez+vrb++=is
intoxication ^nn++++=intoxication,
, ^zz++++=EXTRAWORD
12 ^cd++++=12
which ^whp+rel+subj++=which
represents ^vbz++++=represents
55 ^cd++++=55
percent ^nnu++++=percent
of ^in++++=of
all ^rb++++=all
mental ^jj+atrb+++=mental
state ^nn++++=state
adjectives ^nns++++=adjectives
and ^cc++++=and
17 ^cd++++=17
percent ^nnu++++=percent
of ^in++++=of
all ^abn++++=all
modified ^jj+atrb++xvbn+=modified
adjectives ^nns++++=adjectives;
; ^zz++++=EXTRAWORD
Table ^nn++++=Table
7 ^zz++++=7
gives ^vbz++++=gives
an ^at++++=an
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
instances ^nns++++=instances.
. ^zz++++=EXTRAWORD
A ^at++++=A
study ^nn++++=study
focusing ^nn+++??+=focusing
on ^in++++=on
drunkenness ^nn++++=drunkenness
( ^zz++++=(
Claridge ^np++++=Claridge
2019 ^cd++++=2019
: ^zz++++=:281-282)
281 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
282 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
little ^ap++++=little
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
common ^jj++++=common
downtoner ^vb+++??+=downtoner
used ^vbd+++xvbn+=used
in ^in++++=in
this ^dt+dem+++=this
semantic ^jj+atrb+++=semantic
field ^nn++++=field,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
that ^tht+vcmp+++=that
amplifying ^nn++++=amplifying
drunkenness ^nn++++=drunkenness
is ^vbz+bez+vrb++=is
even ^rb++++=even
more ^rbr++++=more
common ^jj++++=common.
. ^zz++++=EXTRAWORD
