No ^at++++=No
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
among ^in++++=among
coordinated ^jj+atrb+++=coordinated
size ^nn++++=size
- ^zz++++=-adjective
adjective ^nn++++=EXTRAWORD
patterns ^nns++++=patterns
and ^cc++++=and
size ^nn++++=size
- ^zz++++=-clusters
clusters ^nns+nom+++=EXTRAWORD
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
nouns ^nns++++=nouns
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
combine ^vb++++=combine
with ^in++++=with
( ^zz++++=(a
a ^at++++=EXTRAWORD
balanced ^jj+atrb++xvbn+=balanced
range ^nn++++=range
of ^in++++=of
concrete ^nn++++=concrete
and ^cc++++=and
abstract ^jj+atrb+++=abstract
nouns ^nns++++=nouns),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
in ^in++++=in
the ^ati++++=the
meanings ^nns++++=meanings
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
convey ^vb++++=convey
( ^zz++++=(a
a ^at++++=EXTRAWORD
preference ^nn+nom+++=preference
for ^in++++=for
physical ^jj+atrb+++=physical
dimension ^nn++++=dimension
senses ^nns++++=senses,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
where ^wrb+who+++=where
non ^&fw++++=non-physical
- ^zz++++=EXTRAWORD
physical ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
metaphorical ^jj+atrb+++=metaphorical
dimensions ^nns++++=dimensions
are ^vb+ber+vrb++=are
also ^rb++++=also
attested ^jj+pred+++=attested;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
18 ^cd++++=18
and ^cc++++=and
19 ^cd++++=19).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
also ^rb++++=also
no ^at++++=no
clear ^jj+atrb+++=clear
patterns ^nns++++=patterns
in ^in++++=in
the ^ati++++=the
functions ^nns+nom+++=functions
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
perform ^vb++++=perform
( ^zz++++=(noun
noun ^nn++++=EXTRAWORD
modification ^nn+nom+++=modification).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+down+++=only
noticeable ^jj+atrb+++=noticeable
difference ^nn+nom+++=difference
concerned ^vwbn+++xvbn+=concerned
syntactic ^jj+atrb+++=syntactic
position ^nn+nom+++=position:
: ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
tautological ^jj+atrb+++=tautological
size ^nn++++=size
- ^zz++++=-clusters
clusters ^nns+nom+++=EXTRAWORD
are ^vb+ber+vrb++=are
mainly ^rb++++=mainly
attributive ^jj+atrb+++=attributive
constructions ^nns+nom+++=constructions
( ^zz++++=(98
98 ^cd++++=EXTRAWORD
percent ^nnu++++=percent
across ^in+pl+++=across
the ^ati++++=the
Me ^pp1o+pp1+++=ME
to ^in++++=to
Lmode ^np+++??+=LModE
periods ^nns++++=periods),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
coordinated ^jj+atrb+++=coordinated
tautological ^jj+atrb+++=tautological
adjective ^nn++++=adjective
patterns ^nns++++=patterns
show ^vb+vprv+++=show
a ^at++++=a
more ^rbr++++=more
balanced ^jj+atrb++xvbn+=balanced
distribution ^nn+nom+++=distribution
between ^in++++=between
attributive ^nn++++=attributive
and ^cc++++=and
non ^&fw++++=non-attributive
- ^zz++++=EXTRAWORD
attributive ^jj++++=EXTRAWORD
( ^zz++++=(predicative
predicative ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
postpositive ^jj++++=postpositive)
) ^zz++++=EXTRAWORD
positions ^nns+nom+++=positions
( ^zz++++=(40
40 ^cd++++=EXTRAWORD
percent ^nnu++++=percent
of ^in++++=of
non ^&fw++++=non-attributive
- ^zz++++=EXTRAWORD
attributive ^jj+atrb+++=EXTRAWORD
examples ^nns++++=examples
across ^in+pl+++=across
Me ^pp1o+pp1+++=ME
to ^in++++=to
Lmode ^np+++??+=LModE;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
17 ^cd++++=17).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
positional ^jj+atrb+++=positional
