Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
on ^in++++=on
page ^nn++++=page
22 ^cd++++=22,
, ^zz++++=EXTRAWORD
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
is ^vbz+bez+aux++=is
once ^rb+tm+splt++=once
again ^rb+tm+++=again
positioned ^vbd+++xvbn+=positioned
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre-left
- ^zz++++=EXTRAWORD
left ^jj+atrb++xvbn+=EXTRAWORD
area ^nn++++=area
of ^in++++=of
the ^ati++++=the
page ^nn++++=page,
, ^zz++++=EXTRAWORD
situated ^xvbn+++xvbn+=situated
on ^in++++=on
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
illustration ^nn++++=illustration
depicts ^vbz++++=depicts
Emily ^np+++??+=Emily,
, ^zz++++=EXTRAWORD
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
fathers ^nns++++=fathers
running ^vwbg+++xvbg+=running
in ^in++++=in
the ^ati++++=the
countryside ^nn++++=countryside.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
composition ^nn++++=composition,
, ^zz++++=EXTRAWORD
Emily ^np+++??+=Emily
is ^vbz+bez+aux++=is
placed ^vpsv++agls+xvbnx+=placed
prominently ^rb++++=prominently
in ^in++++=in
the ^ati++++=the
foreground ^nn++++=foreground
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
page ^nn++++=page,
, ^zz++++=EXTRAWORD
Max ^np++++=Max
occupies ^vbz++++=occupies
the ^ati++++=the
mid ^jjb++++=mid-ground,
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
fathers ^nns++++=fathers
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
the ^ati++++=the
background ^nn++++=background.
. ^zz++++=EXTRAWORD
The ^ati++++=The
accompanying ^jj+atrb++xvbg+=accompanying
verbal ^jj+atrb+++=verbal
text ^nn++++=text
describes ^vbz++++=describes
the ^ati++++=the
action ^nn++++=action
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
< ^zz++++=<>
> ^zz++++=EXTRAWORD
