By ^in++++=By
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
June ^nr++++=June
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
over ^in++++=over
504,000 ^cd++++=504,000
Covid ^np+++??+=COVID-19-related
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
deaths ^nns++++=deaths
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
number ^nn++++=number
continuing ^vwbg+++xvbg+=continuing
to ^to++++=to
rise ^vbi++++=rise
rapidly ^rb++++=rapidly.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
second ^od++++=second-highest
- ^zz++++=EXTRAWORD
highest ^jjt++++=EXTRAWORD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
rate ^nn++++=rate
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
at ^rb++++=at
329 ^cd++++=329
deaths ^nns++++=deaths
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
being ^xvbg+++xvbg+=being
the ^ati++++=the
second ^od++++=second-largest
- ^zz++++=EXTRAWORD
largest ^jjt+atrb+++=EXTRAWORD
economy ^nn++++=economy
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
following ^jj+atrb++xvbg+=following
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
the ^ati++++=the
relatively ^rb++++=relatively
high ^jj+atrb+++=high
mortality ^nn++++=mortality
rate ^nn++++=rate
observed ^vbd+++xvbn+=observed
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
janeiro ^np++++=Janeiro
compared ^vbd+++xvbn+=compared
to ^in++++=to
other ^ap++++=other
states ^nns++++=states
remains ^nns++++=remains
insufficiently ^rb++++=insufficiently
explained ^vpsv++agls+xvbn+=explained.
. ^zz++++=EXTRAWORD
