All ^abn++++=All
participants ^nns++++=participants
completed ^vbd+++xvbn+=completed
a ^at++++=a
10 ^cd++++=10-item
- ^zz++++=EXTRAWORD
item ^nn++++=EXTRAWORD
presurvey ^nn+++??+=presurvey
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
the ^ati++++=the
course ^nn++++=course.
. ^zz++++=EXTRAWORD
The ^ati++++=The
presurvey ^nn++++=presurvey
included ^vbd+++xvbn+=included
four ^cd++++=four
demographic ^jj+atrb+++=demographic
questions ^nns++++=questions
( ^zz++++=(name,
name ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
location ^nn++++=location,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gender ^nn++++=gender)
) ^zz++++=EXTRAWORD
and ^cc++++=and
six ^cd++++=six
items ^nns++++=items
using ^vwbg+++xvbg+=using
a ^at++++=a
5 ^zz++++=5-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
Likert ^np+++??+=Likert
scale ^nn++++=scale
to ^to++++=to
assess ^vbi++++=assess
participants ^nns++++=participants
attitudes ^nns++++=attitudes
toward ^in++++=toward
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
mobile ^jj+atrb+++=mobile
devices ^nns++++=devices
in ^in++++=in
teaching ^xvbg+++xvbg+=teaching
and ^cc++++=and
learning ^xvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
8 ^zz++++=8-week
- ^zz++++=EXTRAWORD
week ^nn++++=EXTRAWORD
course ^nn++++=course,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
completed ^vbd+++xvbn+=completed
a ^at++++=a
postsurvey ^nn+++??+=postsurvey
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
three ^cd++++=three
questions ^nns++++=questions
evaluating ^nn+++??+=evaluating
their ^pp$+pp3+++=their
readiness ^nn++++=readiness
to ^to+ncmp+++=to
use ^vbi++++=use
and ^cc+phrs+++=and
apply ^vb++++=apply
mobile ^jj+atrb+++=mobile
devices ^nns++++=devices
for ^in++++=for
teaching ^xvbg+++xvbg+=teaching
and ^cc++++=and
learning ^xvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
preand ^nn+++??+=preand
postsurvey ^nn+++??+=postsurvey
items ^nns++++=items
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
from ^in++++=from
the ^ati++++=the
Mobile ^nn++++=Mobile
Learning ^xvbg+++xvbg+=Learning
Survey ^vb++++=Survey,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
adapted ^vpsv++by+xvbnx+=adapted
by ^in++++=by
Gunter ^np++++=Gunter
and ^cc++++=and
Reeves ^np++++=Reeves
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
assess ^vbi++++=assess
teachers ^nns++++=teachers
attitudes ^nns++++=attitudes
toward ^in++++=toward
online ^nn+++??+=online
professional ^jj+atrb+++=professional
development ^nn++++=development
incorporating ^vwbg+++xvbg+=incorporating
mobile ^jj+atrb+++=mobile
learning ^nvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency
reliability ^nn++++=reliability
for ^in++++=for
the ^ati++++=the
attitude ^nn++++=attitude
items ^nns++++=items
was ^vbd+bedz+vrb++=was
acceptable ^jj+pred+++=acceptable,
, ^zz++++=EXTRAWORD
with ^in++++=with
Cronbach ^np+++??+=Cronbach
s ^zz++++=s
alpha ^nn++++=alpha
coefficients ^nns++++=coefficients
of ^in+strn+++=of
. ^zz++++=.70
70 ^cd++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
presurvey ^nn+++??+=presurvey
and ^cc++++=and
. ^zz++++=.77
77 ^cd++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
postsurvey ^nn++++=postsurvey
( ^zz++++=(Gunter
gunter ^np++++=EXTRAWORD
& ^zz++++=&
reeves ^np++++=Reeves,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
