These ^dt+dem+++=These
results ^nns++++=results
demonstrate ^vb+vprv+++=demonstrate
that ^tht+vcmp+++=that
the ^ati++++=the
average ^jj+atrb+++=average
values ^nns++++=values
of ^in++++=of
the ^ati++++=the
Dimensions ^nns++++=Dimensions
differ ^vb++++=differ
substantially ^rb++++=substantially
across ^in+pl+++=across
Academic ^jj+atrb+++=Academic
Institutions ^nns++++=Institutions,
, ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
performance ^nn++++=performance
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
consistent ^jj++++=consistent
across ^in+pl+++=across
all ^abn++++=all
Dimensions ^nns++++=Dimensions,
, ^zz++++=EXTRAWORD
including ^in++++=including
among ^in++++=among
institutions ^nns++++=institutions
within ^in++++=within
European ^jj+atrb+++=European
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
constructing ^vbg+++xvbg+=constructing
an ^at++++=an
overall ^jjb+atrb+++=overall
classification ^nn++++=classification
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
appropriate ^jj+pred+++=appropriate,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
would ^md+prd+++=would
obscure ^vb++++=obscure
the ^ati++++=the
variability ^nn++++=variability
in ^in++++=in
performance ^nn++++=performance
across ^in+pl+++=across
different ^jj+atrb+++=different
Dimensions ^nns++++=Dimensions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
general ^jj+atrb+++=general
justification ^nn++++=justification
for ^in++++=for
prioritizing ^nn++++=prioritizing
one ^cd1++++=one
dimension ^nn++++=Dimension
over ^in++++=over
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
