Inclusion ^nn++++=Inclusion
and ^cc++++=and
exclusion ^nn++++=exclusion
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
The ^ati++++=The
search ^nn++++=search
conducted ^vbd+++xvbn+=conducted
for ^in++++=for
the ^ati++++=the
2020 ^cd++++=2020
period ^nn++++=period
identified ^vwbn+++xvbn+=identified
35 ^cd++++=35
results ^nns++++=results.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
inclusion ^nn++++=inclusion
and ^cc++++=and
exclusion ^nn++++=exclusion
criteria ^nns++++=criteria
were ^vbd+bed+vrb++=were
subsequently ^rb+tm+++=subsequently
applied ^jj+pred+++=applied
to ^in++++=to
this ^dt+dem+++=this
list ^nn++++=list:
: ^zz++++=EXTRAWORD
