As ^in++++=As
illustrated ^nn++++=illustrated
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
graph ^nn++++=graph
in ^in++++=in
Figure ^nn++++=Figure
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
all ^abn++++=all
Hidden ^jj+++xvbn+=Hidden
Markov ^np+++??+=Markov
Models ^nns++++=Models
( ^zz++++=(HMMs)
hmms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
considered ^vbd+vprv++xvbn+=considered
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
comprise ^vb++++=comprise
four ^cd++++=four
states ^nns++++=states,
, ^zz++++=EXTRAWORD
each ^dt++++=each
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
a ^at++++=a
specific ^jj+atrb+++=specific
type ^nn++++=type
of ^in++++=of
location ^nn++++=location
or ^cc++++=or
activity ^nn++++=activity:
: ^zz++++=EXTRAWORD
Home ^nr++++=Home
( ^zz++++=(C),
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Work ^nn++++=Work
( ^zz++++=(T),
t ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Leisure ^nn++++=Leisure
( ^zz++++=(E),
e ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Others ^aps++++=Others
( ^zz++++=(O).
o ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
Hmm ^np+++??+=HMM
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
its ^pp$+it+++=its
own ^ap++++=own
transition ^nn++++=transition
matrix ^nn++++=matrix
\(a_{h,e,l}\ ^nn+++??+=\(A_{h,e,l}\),
which ^whp+rel+subj++=which
specifies ^vbz+vsua+++=specifies
the ^ati++++=the
state ^nn++++=state
transition ^nn++++=transition
probabilities ^nns++++=probabilities
\(a_{h,e,l ^nn+++??+=\(a_{h,e,l}(i,
} ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
j)\ ^nn+++??+=j)\),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
the ^ati++++=the
probability ^nn++++=probability
of ^in++++=of
transitioning ^nn+++??+=transitioning
from ^in++++=from
state ^nn++++=state
\(j\ ^nn+++??+=\(j\)
) ^zz++++=EXTRAWORD
to ^in++++=to
state ^nn++++=state
\(i\ ^nn+++??+=\(i\).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
each ^ppls++++=each
Hmm ^np+++??+=HMM
includes ^vb++++=includes
an ^at++++=an
emission ^nn++++=emission
matrix ^nn++++=matrix
\(b_{h,e,l}\ ^nn+++??+=\(B_{h,e,l}\),
which ^whp+rel+subj++=which
defines ^vbz++++=defines
the ^ati++++=the
output ^nn++++=output
probabilities ^nns++++=probabilities
\(b_{h,e,l ^nn+++??+=\(b_{h,e,l}(k,
} ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
i)\ ^nn+++??+=i)\)
) ^zz++++=EXTRAWORD
for ^in++++=for
each ^dt++++=each
state ^nn++++=state,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
\(k\ ^nn+++??+=\(k\)
) ^zz++++=EXTRAWORD
denotes ^vbz+vsua+++=denotes
the ^ati++++=the
possible ^jj+atrb+++=possible
places ^nns++++=places
an ^at++++=an
individual ^nn++++=individual
in ^in++++=in
state ^nn++++=state
\(i\ ^nn+++??+=\(i\)
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
visit ^vb++++=visit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
initial ^jj+atrb+++=initial
state ^nn++++=state
distribution ^nn++++=distribution
is ^vbz+bez+aux++=is
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
the ^ati++++=the
vector ^nn++++=vector
\(\pi\ ^nn+++??+=\(\pi\),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
set ^jj++agls+xvbnx+=set
to ^to+jcmp+++=to
( ^zz++++=(1,
1 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
0 ^zz++++=0,
, ^zz++++=EXTRAWORD
0 ^zz++++=0,
, ^zz++++=EXTRAWORD
0 ^zz++++=0)
) ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
each ^ppls++++=each
day ^np++++=day,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
the ^ati++++=the
assumption ^nn++++=assumption
that ^tht+ncmp+++=that
all ^abn++++=all
individuals ^nns++++=individuals
begin ^vb++++=begin
the ^ati++++=the
day ^nn++++=day
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
