During ^in++++=During
the ^ati++++=the
dry ^jj+atrb+++=dry
season ^nn++++=season
of ^in++++=of
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
sediment ^nn+++??+=sediment
cores ^nns++++=cores
were ^vbd+bed+aux++=were
collected ^vpsv++by+xvbnx+=collected
by ^in++++=by
divers ^nns++++=divers
from ^in++++=from
deep ^jj+atrb+++=deep
zones ^nns++++=zones
at ^in++++=at
both ^abx++++=both
study ^nn++++=study
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
Site ^nn++++=Site
selection ^nn++++=selection
was ^vbd+bedz+aux++=was
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
water ^nn++++=water
depth ^nn++++=depth
profiles ^nns++++=profiles
and ^cc++++=and
riverbed ^nn+++??+=riverbed
sediment ^nn+++??+=sediment
sampling ^nn++++=sampling.
. ^zz++++=EXTRAWORD
A ^at++++=A
122 ^cd++++=122
cm ^nnu++++=cm
core ^nn++++=core
( ^zz++++=(XC1-02)
xc1 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
02 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
Arapuj ^np+++??+=Arapuj
Island ^nn++++=Island,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
362 ^cd++++=362
cm ^nnu++++=cm
core ^nn++++=core
( ^zz++++=(XC-03)
xc ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
03 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
the ^ati++++=the
Ria ^np+++??+=Ria,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
a ^at++++=a
6 ^zz++++=6
m ^zz++++=m
long ^rb++++=long
Pvc ^np+++??+=PVC
tube ^nn++++=tube,
, ^zz++++=EXTRAWORD
with ^in++++=with
cores ^nns++++=cores
sectioned ^nn+++??+=sectioned
at ^rb++++=at
2 ^zz++++=2
cm ^nnu++++=cm
intervals ^nns++++=intervals.
. ^zz++++=EXTRAWORD
