Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
recent ^jj+atrb+++=recent
technological ^jj+atrb+++=technological
developments ^nns++++=developments
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
potential ^nn++++=potential
to ^to+ncmp+++=to
address ^vb++++=address
educational ^jj+atrb+++=educational
needs ^nns++++=needs
and ^cc++++=and
promote ^vb++++=promote
social ^jj+atrb+++=social
inclusion ^nn++++=inclusion.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Casta ^np+++??+=Casta
eda ^nn+++??+=eda,
, ^zz++++=EXTRAWORD
Prendes ^np+++??+=Prendes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Guti ^np+++??+=Guti
rrez ^nn+++??+=rrez
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
developments ^nns++++=developments
include ^vb++++=include
massive ^jj+atrb+++=massive
open ^jj+atrb+++=open
online ^nn+++??+=online
courses ^nns++++=courses
( ^zz++++=(MOOCs),
moocs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
webquests ^nns+++??+=webquests,
, ^zz++++=EXTRAWORD
gamification ^nn+++??+=gamification,
, ^zz++++=EXTRAWORD
augmented ^jj+atrb++xvbn+=augmented
reality ^nn++++=reality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
personal ^jj+atrb+++=personal
learning ^nn++++=learning
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others.
. ^zz++++=EXTRAWORD
