Abcsim ^np+++??+=AbCSim
provides ^vbz+vsua+++=provides
data ^nns++++=data
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^in++++=to
quantify ^nn+++??+=quantify
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
implementing ^xvbg+++xvbg+=implementing
various ^jj+atrb+++=various
health ^nn++++=health
policies ^nns++++=policies
at ^in++++=at
the ^ati++++=the
local ^jj+atrb+++=local
level ^nn++++=level.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
capabilities ^nns++++=capabilities
make ^vb++++=make
the ^ati++++=the
model ^nn++++=model
a ^at++++=a
valuable ^jj+atrb+++=valuable
tool ^nn++++=tool
for ^in++++=for
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^xvbg+++xvbg+=EXTRAWORD
aimed ^vwbn+++xvbn+=aimed
at ^rb++++=at
assessing ^vbg+++xvbg+=assessing
healthcare ^jj+atrb++??+=healthcare
system ^nn++++=system
utilization ^nn+++??+=utilization
and ^cc++++=and
preventing ^jj+atrb++xvbg+=preventing
system ^nn++++=system
overload ^nn+++??+=overload,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
individuals ^nns++++=individuals'
' ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
economic ^jj+atrb+++=economic
and ^cc+phrs+++=and
social ^jj+atrb+++=social
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
work ^nn++++=work
will ^md+prd+++=will
include ^vb++++=include
multiple ^jj+atrb+++=multiple
case ^nn++++=case
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
presenting ^vbg+++xvbg+=presenting
results ^nns++++=results
from ^in++++=from
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
this ^dt+dem+++=this
model ^nn++++=model
to ^in++++=to
other ^ap++++=other
cities ^nns++++=cities
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
state ^nn++++=state
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
forthcoming ^jj+atrb+++=forthcoming
research ^nn++++=research
will ^md+prd+++=will
address ^vb++++=address
the ^ati++++=the
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
model ^nn++++=model
to ^to++++=to
incorporate ^vbi++++=incorporate
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
vaccination ^nn++++=vaccination
campaigns ^nns++++=campaigns
and ^cc++++=and
different ^jj+atrb+++=different
virus ^nn++++=virus
variants ^nns++++=variants.
. ^zz++++=EXTRAWORD
