Since ^in++++=Since
the ^ati++++=the
early ^jj+atrb+++=early
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
international ^jj+atrb+++=international
collaborative ^nn+++??+=collaborative
efforts ^nns++++=efforts
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
undertaken ^vpsv++agls+xvbnx+=undertaken
to ^to++++=to
collect ^vbi++++=collect
indicators ^nns++++=indicators
for ^in++++=for
monitoring ^xvbg+++xvbg+=monitoring
its ^pp$+it+++=its
spread ^nn+++xvbn+=spread.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
recoveries ^nns++++=recoveries
are ^vb+ber+vrb++=are
systematically ^rb++++=systematically
tracked ^jj+pred++??+=tracked,
, ^zz++++=EXTRAWORD
both ^abx++++=both
as ^ql++++=as
daily ^jj+atrb+++=daily
figures ^nns++++=figures
and ^cc++++=and
as ^in++++=as
cumulative ^jj+atrb+++=cumulative
totals ^nns++++=totals.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
issues ^vbz++++=issues
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
accuracy ^nn++++=accuracy
of ^in++++=of
this ^dt+dem+++=this
information ^nn++++=information,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
significant ^jj+atrb+++=significant
international ^jj+atrb+++=international
discrepancies ^nns++++=discrepancies
in ^in++++=in
data ^nns++++=data
quality ^nn++++=quality,
, ^zz++++=EXTRAWORD
render ^vb++++=render
case ^nn++++=case
counts ^nns++++=counts
unsuitable ^jj++++=unsuitable
for ^in++++=for
cross ^jj++++=cross-country
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
comparisons ^nns++++=comparisons.
. ^zz++++=EXTRAWORD
Variations ^nns++++=Variations
in ^in++++=in
testing ^xvbg+++xvbg+=testing
availability ^nn++++=availability
particularly ^rb++++=particularly
pronounced ^jj+++xvbn+=pronounced
during ^in++++=during
the ^ati++++=the
initial ^jj+atrb+++=initial
stages ^nns++++=stages
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
further ^jjb++++=further
undermine ^vb++++=undermine
the ^ati++++=the
comparability ^nn++++=comparability
of ^in++++=of
case ^nn++++=case-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
extends ^vbz++++=extends
beyond ^in++++=beyond
outcomes ^nns+++??+=outcomes
resulting ^vwbg+++xvbg+=resulting
in ^in++++=in
death ^nn++++=death,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality
data ^nns++++=data,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
their ^pp$+pp3+++=their
own ^ap++++=own
limitations ^nns++++=limitations,
, ^zz++++=EXTRAWORD
offer ^nn++++=offer
a ^at++++=a
more ^rbr++++=more
reliable ^jj+atrb+++=reliable
basis ^nn++++=basis
for ^in++++=for
comparative ^jj+atrb+++=comparative
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
