The ^ati++++=The
Hampshire ^np++++=Hampshire
Agreed ^vbd+++xvbn+=Agreed
Syllabus ^nn++++=Syllabus
demonstrates ^vbz+vpub+++=demonstrates
significant ^jj+atrb+++=significant
potential ^nn++++=potential
for ^in++++=for
fostering ^nn+++??+=fostering
intercultural ^nn+++??+=intercultural
learning ^vwbg+vprv++xvbg+=learning.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
its ^pp$+it+++=its
approach ^nn++++=approach
of ^in++++=of
" ^zz++++="Religious
religious ^jj+atrb+++=EXTRAWORD
Education ^nn++++=Education
as ^in++++=as
a ^at++++=a
process ^nn++++=process
of ^in++++=of
conceptual ^jj+atrb+++=conceptual
enquiry ^nn++++=enquiry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
syllabus ^nn++++=syllabus
seeks ^vbz++++=seeks
to ^to+vcmp+++=to
examine ^vbi++++=examine
children ^nns++++=children's
's ^vbz+bez+aux++0=EXTRAWORD
understanding ^vbg+++xvbgx+=understanding
of ^in++++=of
religious ^jj+atrb+++=religious
values ^nns++++=values,
, ^zz++++=EXTRAWORD
meanings ^nns++++=meanings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
propositional ^nn+++??+=propositional
claims ^nns++++=claims,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
encouraging ^jj+atrb+++=encouraging
critical ^jj+atrb+++=critical
engagement ^nn++++=engagement
within ^in++++=within
a ^at++++=a
framework ^nn++++=framework
of ^in++++=of
empathetic ^nn+++??+=empathetic
dialogue ^nn++++=dialogue.
. ^zz++++=EXTRAWORD
Teachers ^nns++++=Teachers
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
facilitate ^vbi++++=facilitate
discussions ^nns++++=discussions
in ^in++++=in
which ^whp+rel+pied++=which
pupils ^nns++++=pupils
articulate ^jj++++=articulate
their ^pp$+pp3+++=their
perspectives ^nns++++=perspectives
on ^in++++=on
both ^abx++++=both
familiar ^jj+atrb+++=familiar
concepts ^nns++++=concepts
such ^abl++++=such
as ^ql++++=as
community ^nn++++=community,
, ^zz++++=EXTRAWORD
ritual ^jjb++++=ritual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
law ^nn++++=law
and ^cc++++=and
more ^rbr++++=more
specific ^jj+atrb+++=specific
religious ^jj+atrb+++=religious
concepts ^nns++++=concepts,
, ^zz++++=EXTRAWORD
including ^in++++=including
Umma ^np+++??+=Umma,
, ^zz++++=EXTRAWORD
Eucharist ^np+++??+=Eucharist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Torah ^np++++=Torah.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
contextualisation ^nn+++??+=contextualisation
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
students ^nns++++=students
are ^vb+ber+aux++=are
introduced ^vpsv++agls+xvbnx+=introduced
to ^in++++=to
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
case ^nn++++=case
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
testimonies ^nns+++??+=testimonies
that ^tht+rel+subj++=that
broaden ^vb++++=broaden
their ^pp$+pp3+++=their
awareness ^nn++++=awareness
of ^in++++=of
alternative ^jj+atrb+++=alternative
frameworks ^nns++++=frameworks
of ^in++++=of
meaning ^xvbg+++xvbg+=meaning.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evaluative ^jj+atrb+++=evaluative
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
teachers ^nns++++=teachers
prompt ^jj+atrb+++=prompt
pupils ^nns++++=pupils
to ^to++++=to
consider ^vbi+vprv+++=consider
how ^wrb+who+whcl++=how
these ^dt+dem+++=these
concepts ^nns++++=concepts
and ^cc++++=and
practices ^nns++++=practices
might ^md+pos+++=might
inform ^vb++++=inform
or ^cc++++=or
challenge ^nn++++=challenge
their ^pp$+pp3+++=their
own ^ap++++=own
perspectives ^nns++++=perspectives.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nn++++=process
supports ^vbz++++=supports
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
students ^nns++++=students'
' ^zz++++=EXTRAWORD
vocabularies ^nns++++=vocabularies
by ^in++++=by
associating ^xvbg+++xvbg+=associating
meanings ^nns++++=meanings
and ^cc++++=and
modes ^nns++++=modes
of ^in++++=of
use ^nn++++=use
with ^in++++=with
particular ^jj+atrb+++=particular
worldviews ^nns++++=worldviews.
. ^zz++++=EXTRAWORD
