Clinical ^jj+atrb+++=Clinical
studies ^nns++++=studies
have ^vb+hv+aux++=have
assessed ^vprf+++xvbnx+=assessed
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
kava ^nn+++??+=kava
extract ^nn++++=extract
compared ^vbd+++xvbn+=compared
to ^in++++=to
placebo ^nn+++??+=placebo
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
a ^at++++=a
significant ^jj+atrb+++=significant
reduction ^nn++++=reduction
in ^in++++=in
these ^dt+dem+++=these
symptoms ^nns++++=symptoms
( ^zz++++=(Witte
witte ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Sarris ^np+++??+=Sarris
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
kava ^nn+++??+=kava
extract ^nn++++=extract
has ^vbz+hvz+aux++=has
shown ^vprf+++xvbnx+=shown
favorable ^&fw++++=favorable
outcomes ^nns+++??+=outcomes
across ^in+pl+++=across
a ^at++++=a
range ^nn++++=range
of ^in++++=of
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
including ^in++++=including
nonspecific ^nn+++??+=nonspecific
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
tension ^nn++++=tension,
, ^zz++++=EXTRAWORD
agitation ^nn++++=agitation,
, ^zz++++=EXTRAWORD
phobias ^nns+++??+=phobias,
, ^zz++++=EXTRAWORD
generalized ^jj+atrb+++=generalized
anxiety ^nn++++=anxiety
disorder ^nn++++=disorder
( ^zz++++=(GAD),
gad ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
insomnia ^nn++++=insomnia
( ^zz++++=(Baek
baek ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
