Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genus ^nns+++??+=genus
Passiflora ^np+++??+=Passiflora
presents ^vbz++++=presents
significant ^jj+atrb+++=significant
potential ^nn++++=potential
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
new ^jj+atrb+++=new
pharmaceuticals ^nns+++??+=pharmaceuticals
and ^cc++++=and
health ^nn++++=health-promoting
- ^zz++++=EXTRAWORD
promoting ^vbg+++xvbg+=EXTRAWORD
products ^nns++++=products.
. ^zz++++=EXTRAWORD
Continued ^jj+atrb++xvbn+=Continued
research ^nn++++=research
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
contribute ^vbi++++=contribute
to ^in++++=to
improvements ^nns++++=improvements
in ^in++++=in
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life
on ^in++++=on
a ^at++++=a
global ^jj+atrb+++=global
scale ^nn++++=scale
( ^zz++++=(Trompetter
trompetter ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
