Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
information ^nn++++=information
was ^vbd+bedz+aux++=was
extracted ^vpsv++agls+xvbnx+=extracted
from ^in++++=from
each ^dt++++=each
program ^nn+++??+=program:
: ^zz++++=EXTRAWORD
program ^nn+++??+=program
name ^nn++++=name,
, ^zz++++=EXTRAWORD
objective ^jj+atrb+++=objective
or ^cc+phrs+++=or
brief ^jj+atrb+++=brief
description ^nn++++=description,
, ^zz++++=EXTRAWORD
university ^npl++++=university,
, ^zz++++=EXTRAWORD
country ^nn++++=country,
, ^zz++++=EXTRAWORD
duration ^nn++++=duration,
, ^zz++++=EXTRAWORD
area ^nn++++=area
of ^in++++=of
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
modules ^nns+++??+=modules
or ^cc++++=or
courses ^nns++++=courses
offered ^vbd+++xvbn+=offered.
. ^zz++++=EXTRAWORD
A ^at++++=A
summary ^nn++++=summary
of ^in++++=of
the ^ati++++=the
selected ^jj+atrb+++=selected
graduate ^nn++++=graduate
programs ^nns++++=programs
is ^vbz+bez+aux++=is
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
