Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
Learn ^vb+vprv+++=Learn
Together ^rb++++=Together
curriculum ^nn++++=curriculum
adopts ^nns+++??+=adopts
an ^at++++=an
inclusive ^jj+atrb+++=inclusive
approach ^nn++++=approach
that ^tht+rel+subj++=that
recognizes ^vbz+vprv+++=recognizes
the ^ati++++=the
cognitive ^nn+++??+=cognitive
and ^cc++++=and
aesthetic ^jj+atrb+++=aesthetic
aspects ^nns++++=aspects
of ^in++++=of
religious ^jj+atrb+++=religious
phenomena ^nns++++=phenomena,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
lacks ^vbz++++=lacks
the ^ati++++=the
capacity ^nn++++=capacity
to ^to+ncmp+++=to
provide ^vbi+vsua+++=provide
religious ^jj+atrb+++=religious
education ^nn++++=education
with ^in++++=with
the ^ati++++=the
critical ^jj+atrb+++=critical
framework ^nn++++=framework
required ^vbd+++xvbn+=required
for ^in++++=for
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
diverse ^jj+atrb+++=diverse
religious ^jj+atrb+++=religious
perspectives ^nns++++=perspectives
on ^in++++=on
truth ^nn++++=truth
and ^cc++++=and
moral ^jj+atrb+++=moral
inquiry ^nn++++=inquiry.
. ^zz++++=EXTRAWORD
the ^ati++++=The
pragmatist ^np++++=Pragmatist/Postmodern
conception ^nn++++=Conception:
: ^zz++++=EXTRAWORD
england ^np++++=England
