Since ^cs+sub+++=Since
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
utilizes ^nns+++??+=utilizes
a ^at++++=a
substantially ^rb++++=substantially
larger ^jjr+atrb+++=larger
number ^nn++++=number
of ^in++++=of
indicators ^nns++++=indicators
( ^zz++++=(36)
36 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^to++++=to
one ^cd1++++=one-dimensional
- ^zz++++=EXTRAWORD
dimensional ^nn+++??+=EXTRAWORD
rankings ^nns++++=rankings,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
typically ^rb++++=typically
employ ^vb++++=employ
fewer ^ap++++=fewer
than ^in++++=than
15 ^cd++++=15
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
missing ^xvbg+++xvbg+=missing
data ^nns++++=data
is ^vbz+bez+vrb++=is
correspondingly ^rb++++=correspondingly
higher ^jjr+pred+++=higher
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
limitation ^nn++++=limitation
of ^in++++=of
this ^dt+dem+++=this
ranking ^jj+atrb++xvbg+=ranking
system ^nn++++=system.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
issue ^nn++++=issue
is ^vbz+bez+vrb++=is
less ^rbr++++=less
critical ^jj+pred+++=critical
than ^in++++=than
in ^in++++=in
one ^cd1++++=one-dimensional
- ^zz++++=EXTRAWORD
dimensional ^nn+++??+=EXTRAWORD
rankings ^nns++++=rankings
because ^cs+cos+++=because
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
produce ^vb++++=produce
an ^at++++=an
overall ^jjb+atrb+++=overall
classification ^nn++++=classification;
; ^zz++++=EXTRAWORD
users ^nns++++=users
can ^md+pos+++=can
disregard ^vb++++=disregard
missing ^jj+atrb++xvbg+=missing
data ^nns++++=data
and ^cc++++=and
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
available ^jj+atrb+++=available
information ^nn++++=information,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
losing ^jj+++xvbg+=losing
only ^rb+down+++=only
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
dataset ^nn+++??+=dataset
rather ^rb++++=rather
than ^in++++=than
the ^ati++++=the
entire ^jjb+atrb+++=entire
ranking ^nvbg+++xvbg+=ranking.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
missing ^xvbg+++xvbg+=missing
data ^nns++++=data
is ^vbz+bez+vrb++=is
significant ^jj+pred+++=significant
in ^in++++=in
many ^ap++++=many
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
issue ^nn++++=issue
will ^md+prd+++=will
be ^vb+be+aux++=be
examined ^vbd+++xvbn+=examined
in ^in++++=in
detail ^nn++++=detail
later ^rbr+tm+++=later
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
