Although ^cs+con+++=Although
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
explicit ^jj+atrb+++=explicit
reference ^nn++++=reference
to ^in++++=to
Dad ^nn++++=Dad
initially ^rb+cnj+++=initially,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
indication ^nn++++=indication
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
the ^ati++++=the
biological ^jj+atrb+++=biological
father ^nn++++=father.
. ^zz++++=EXTRAWORD
The ^ati++++=The
similarity ^nn++++=similarity
between ^in++++=between
Daddy ^npt++++=Daddy
s ^zz++++=s
hair ^nn++++=hair
and ^cc++++=and
Emily ^np+++??+=Emily
s ^zz++++=s
suggests ^vbz+vpub+++=suggests
a ^at++++=a
biological ^jj+atrb+++=biological
relationship ^nn++++=relationship.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy
is ^vbz+bez+aux++=is
typically ^rb++splt++=typically
depicted ^vpsv++agls+xvbnx+=depicted
as ^ql++++=as
being ^jj+++xvbg+=being
closer ^rbr++++=closer
to ^in++++=to
Emily ^np+++??+=Emily
and ^cc++++=and
assuming ^vbg+vprv++xvbg+=assuming
a ^at++++=a
protective ^jj+atrb+++=protective
role ^nn++++=role,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
the ^ati++++=the
cover ^nn++++=cover
of ^in++++=of
the ^ati++++=the
picturebook ^nn++++=picturebook
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
figure ^nn++++=Figure
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
