Anxiety ^nn++++=Anxiety
can ^md+pos+++=can
adversely ^rb++splt++=adversely
affect ^vb++++=affect
dental ^jj+atrb+++=dental
treatment ^nn++++=treatment
outcomes ^nns+++??+=outcomes
and ^cc++++=and
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
deterioration ^nn++++=deterioration
of ^in++++=of
oral ^jj+atrb+++=oral
health ^nn++++=health
( ^zz++++=(Pinheiro
pinheiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
da ^np++++=da
Cunha ^np+++??+=Cunha
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
experiencing ^vwbg+++xvbg+=experiencing
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
dental ^jj+atrb+++=dental
phobia ^nn+++??+=phobia
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
delay ^vb++++=delay
or ^cc++++=or
avoid ^vb++++=avoid
seeking ^jj+++xvbg+=seeking
necessary ^jj+atrb+++=necessary
oral ^jj+atrb+++=oral
health ^nn++++=health
care ^nn++++=care
( ^zz++++=(Deogade
deogade ^nn+++??+=EXTRAWORD
& ^zz++++=&
Suresan ^np+++??+=Suresan,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Ara ^np+++??+=Ara
jo ^np++++=jo
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
symptoms ^nns++++=symptoms
can ^md+pos+++=can
interfere ^vb++++=interfere
with ^in++++=with
dental ^jj+atrb+++=dental
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
compromising ^jj+atrb+++=compromising
patient ^nn++++=patient
safety ^nn++++=safety
and ^cc++++=and
the ^ati++++=the
quality ^nn++++=quality
of ^in++++=of
care ^nn++++=care
provided ^vbd+vsua++xvbn+=provided
( ^zz++++=(Facco
facco ^nn+++??+=EXTRAWORD
& ^zz++++=&
Zanette ^np+++??+=Zanette,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
also ^rb++++=also
negatively ^rb++++=negatively
impact ^nn++++=impact
overall ^jjb+atrb+++=overall
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life
( ^zz++++=(da
da ^np++++=EXTRAWORD
cunha ^np++++=Cunha
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
