A ^at++++=A
total ^nn++++=total
of ^in++++=of
806 ^cd++++=806
articles ^nns++++=articles
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
database ^nn+++??+=database
search ^nn++++=search,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
290 ^cd++++=290
from ^in++++=from
Science ^nn++++=Science
Direct ^jj++++=Direct,
, ^zz++++=EXTRAWORD
46 ^cd++++=46
from ^in++++=from
Web ^nn++++=Web
of ^in++++=of
Science ^nn++++=Science,
, ^zz++++=EXTRAWORD
87 ^cd++++=87
from ^in++++=from
Scopus ^np+++??+=Scopus,
, ^zz++++=EXTRAWORD
170 ^cd++++=170
from ^in++++=from
Cochrane ^np+++??+=Cochrane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
213 ^cd++++=213
from ^in++++=from
Pubmed ^np+++??+=PubMed.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
102 ^cd++++=102
duplicate ^vb++++=duplicate
records ^vbz+vpub+++=records,
, ^zz++++=EXTRAWORD
704 ^cd++++=704
articles ^nns++++=articles
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
Screening ^vbg+++xvbg+=Screening
of ^in++++=of
titles ^nns++++=titles
and ^cc++++=and
abstracts ^vbz+++??+=abstracts
resulted ^vprf+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
exclusion ^nn++++=exclusion
of ^in++++=of
686 ^cd++++=686
articles ^nns++++=articles
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
meet ^vb++++=meet
the ^ati++++=the
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
different ^jj+atrb+++=different
study ^nn++++=study
types ^nns++++=types,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
involved ^xvbn+++xvbn+=involved
populations ^nns++++=populations
with ^in++++=with
other ^ap++++=other
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
18 ^cd++++=18
articles ^nns++++=articles
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
for ^in++++=for
full ^jj++++=full-text
- ^zz++++=EXTRAWORD
text ^nn++++=EXTRAWORD
review ^nn++++=review,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
one ^cd1++++=one
additional ^jj+atrb+++=additional
article ^nn++++=article
was ^vbd+bedz+aux++=was
excluded ^vpsv++agls+xvbn+=excluded.
. ^zz++++=EXTRAWORD
