When ^wrb+who+++=When
learning ^vbg+vprv++xvbg+=learning
a ^at++++=a
foreign ^jj+atrb+++=foreign
language ^nn++++=language,
, ^zz++++=EXTRAWORD
native ^jj+atrb+++=native
speakers ^nns++++=speakers
of ^in++++=of
Portuguese ^nn++++=Portuguese
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
their ^pp$+pp3+++=their
first ^od++++=first
language ^nn++++=language
anaphora ^nn+++??+=anaphora
resolution ^nn++++=resolution
strategy ^nn++++=strategy
( ^zz++++=(PAS),
pas ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
irrespective ^in++++=irrespective
of ^in++++=of
their ^pp$+pp3+++=their
proficiency ^nn++++=proficiency
level ^nn++++=level
in ^in++++=in
the ^ati++++=the
second ^od++++=second
language ^nn++++=language.
. ^zz++++=EXTRAWORD
In ^in++++=In
Spanish ^jj+atrb+++=Spanish,
, ^zz++++=EXTRAWORD
Brazilian ^jj+atrb+++=Brazilian
learners ^nns++++=learners
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
than ^in++++=than
European ^jj+atrb+++=European
learners ^vb++++=learners
to ^to+vcmp+++=to
interpret ^vbi++++=interpret
zero ^cd++++=zero
anaphora ^nn+++??+=anaphora
as ^ql++++=as
referring ^jj+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
learners ^nns++++=learners
exhibit ^vb++++=exhibit
some ^dti++++=some
uncertainty ^nn++++=uncertainty
in ^in++++=in
selecting ^xvbg+++xvbg+=selecting
the ^ati++++=the
antecedent ^nn++++=antecedent
of ^in++++=of
pronouns ^nns++++=pronouns
in ^in++++=in
Spanish ^jj++++=Spanish,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
cases ^nns++++=cases
involving ^vbg+++xvbg+=involving
cataphora ^nn++++=cataphora,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
in ^in++++=in
english ^nn++++=English.
. ^zz++++=EXTRAWORD
