Additional ^jj+atrb+++=Additional
studies ^nns++++=studies
associated ^vbd+++xvbn+=associated
with ^in++++=with
this ^dt+dem+++=this
project ^nn++++=project
will ^md+prd+++=will
be ^vb+be+aux++=be
conducted ^vpsv++agls+xvbnx+=conducted
to ^in++++=to
further ^nn++++=further
examine ^vb++++=examine
the ^ati++++=the
health ^nn++++=health
conditions ^nns++++=conditions
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
under ^in++++=under
study ^nn++++=study,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
attention ^nn++++=attention
to ^in++++=to
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
social ^jj+atrb+++=social
isolation ^nn++++=isolation
and ^cc++++=and
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
socioeconomic ^nn+++??+=socioeconomic
impacts ^nns+++??+=impacts.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^to++++=to
estimating ^vbi++++=estimating
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
facilitate ^vb++++=facilitate
a ^at++++=a
better ^jjr++++=better
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
patterns ^nns++++=patterns
and ^cc++++=and
determinants ^nns++++=determinants
of ^in++++=of
illness ^nn++++=illness
within ^in++++=within
the ^ati++++=the
population ^nn++++=population.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
insights ^nns++++=insights
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
enhancement ^nn++++=enhancement
of ^in++++=of
health ^nn++++=health
care ^nn++++=care
delivery ^nn++++=delivery
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
unified ^jj+atrb+++=Unified
health ^nn++++=Health
system ^nn++++=System
and ^cc++++=and
the ^ati++++=the
private ^jj+atrb+++=private
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
