Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
information ^nn++++=information,
, ^zz++++=EXTRAWORD
the ^ati++++=the
information ^nn++++=information
gathering ^vwbg+++xvbg+=gathering
process ^nn++++=process
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
from ^in++++=from
May ^md+pos+++=May
to ^in++++=to
August ^nr++++=August
2020 ^cd++++=2020
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
modules ^nns+++??+=modules
necessary ^jj++++=necessary
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
the ^ati++++=the
skills ^nns++++=skills
required ^vbd+++xvbn+=required
in ^in++++=in
this ^dt+dem+++=this
postgraduate ^jjb+atrb+++=postgraduate
program ^nn+++??+=program.
. ^zz++++=EXTRAWORD
In ^in++++=In
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
search ^nn++++=search
protocol ^nn++++=protocol
outlined ^vbd+++xvbn+=outlined
in ^in++++=in
the ^ati++++=the
methodological ^jj+atrb+++=methodological
section ^nn++++=section
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
applying ^xvbg+++xvbg+=applying
the ^ati++++=the
specified ^jj+atrb++xvbn+=specified
inclusion ^nn++++=inclusion
and ^cc++++=and
exclusion ^nn++++=exclusion
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
master ^nn++++=master's
's ^$++++=EXTRAWORD
programs ^nns++++=programs
were ^vbd+bed+vrb++=were
selected ^jj+pred+++=selected.
. ^zz++++=EXTRAWORD
