It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
proposed ^vpsv++agls+xvbnx+=proposed
that ^tht+vcmp+++=that
English ^jj+atrb+++=English
exhibits ^nns++++=exhibits
a ^at++++=a
tendency ^nn++++=tendency
to ^to+ncmp+++=to
interpret ^vbi++++=interpret
a ^at++++=a
pronoun ^nn++++=pronoun
in ^in++++=in
subject ^nn++++=subject
position ^nn++++=position
as ^ql++++=as
referring ^jj+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause
( ^zz++++=(Chambers
chambers ^np++++=EXTRAWORD
& ^zz++++=&
Smyth ^np+++??+=Smyth,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Crawley ^np++++=Crawley
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
( ^zz++++=(6),
6 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
except ^in++++=except
when ^wrb+who+++=when
the ^ati++++=the
pronoun ^nn++++=pronoun
is ^vbz+bez+aux++=is
stressed ^vpsv++agls+xvbnx+=stressed.
. ^zz++++=EXTRAWORD
In ^in++++=In
cases ^nns++++=cases
where ^wrb+who+++=where
the ^ati++++=the
pronoun ^nn++++=pronoun
in ^in++++=in
subject ^nn++++=subject
position ^nn++++=position
is ^vbz+bez+aux++=is
stressed ^vpsv++agls+xvbnx+=stressed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
interpreted ^vpsv++agls+xvbnx+=interpreted
as ^ql++++=as
referring ^jj+++xvbg+=referring
to ^in++++=to
an ^at++++=an
entity ^nn++++=entity
distinct ^jj++++=distinct
from ^in++++=from
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause
( ^zz++++=(Luj
luj ^nn+++??+=EXTRAWORD
n ^zz++++=n,
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986;
; ^zz++++=EXTRAWORD
Smyth ^np+++??+=Smyth,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
( ^zz++++=(7).
7 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
analogous ^jj++++=analogous
to ^in++++=to
the ^ati++++=the
distinction ^nn++++=distinction
observed ^vbd+++xvbn+=observed
in ^in++++=in
null ^jj+atrb+++=null
subject ^nn++++=subject
languages ^nns++++=languages
between ^in++++=between
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
zero ^cd++++=zero
anaphora ^nn+++??+=anaphora
( ^zz++++=(null
null ^jj+atrb+++=EXTRAWORD
pronouns ^nns++++=pronouns)
) ^zz++++=EXTRAWORD
and ^cc++++=and
pronominal ^nn++++=pronominal
anaphora ^nn++++=anaphora
( ^zz++++=(unstressed
unstressed ^nn++++=EXTRAWORD
overt ^jj+atrb+++=overt
pronouns ^nns++++=pronouns).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
