There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
significant ^jj+atrb+++=significant
political ^jj+atrb+++=political
persecution ^nn++++=persecution
at ^in++++=at
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
civil ^jj+atrb+++=civil
servants ^nns++++=servants
were ^vbd+bed+vrb++=were
marginalized ^nn+++??+=marginalized
due ^jj++++=due
to ^to+jcmp+++=to
perceived ^vbn+vprv++xvbn+=perceived
associations ^nns++++=associations
with ^in++++=with
political ^jj+atrb+++=political
parties ^nns++++=parties.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
changes ^vbz++++=changes
occurred ^vprf+++xvbn+=occurred
because ^cs+cos+++=because
all ^abn++++=all
civil ^jj+atrb+++=civil
servants ^nns++++=servants
were ^vbd+bed+aux++=were
regarded ^vpsv++agls+xvbnx+=regarded
with ^in++++=with
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
needed ^vbd+++xvbnx+=needed
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
trust ^vb+vprv+++=trust
with ^in++++=with
the ^ati++++=the
new ^jj+atrb+++=new
arrivals ^nns++++=arrivals
and ^cc++++=and
demonstrate ^vb+vprv+tht0++=demonstrate
my ^pp$+pp1+++=my
commitment ^nn++++=commitment
to ^to+ncmp+++=to
performing ^vbi++++=performing
my ^pp$+pp1+++=my
duties ^nns++++=duties
effectively ^rb+cnj+++=effectively,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
to ^to++++=to
assure ^vbi++++=assure
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
intend ^vb++++=intend
to ^to+vcmp+++=to
undermine ^vbi++++=undermine
ongoing ^nn++++=ongoing
work ^nn++++=work
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
47 ^cd++++=47).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
