Reference ^nn++++=Reference
values ^nns++++=values
from ^in++++=from
the ^ati++++=the
normal ^jj+atrb+++=normal
population ^nn++++=population,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbnx+=utilized,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
Lf ^np+++??+=LF/HF
ratio ^nn++++=ratio
greater ^jjr++++=greater
than ^in++++=than
2 ^zz++++=2
considered ^vbd+vprv++xvbn+=considered
indicative ^jj++++=indicative
of ^in++++=of
an ^at++++=an
abnormality ^nn++++=abnormality.
. ^zz++++=EXTRAWORD
( ^zz++++=(5,6)
5,6 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
