Bauer ^np+++??+=Bauer
and ^cc++++=and
colleagues ^nns++++=colleagues
recognized ^vwbn+vprv++xvbn+=recognized
that ^tht+vcmp+++=that
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
policy ^nn++++=policy
dismantling ^nn++++=dismantling
could ^md+pos+++=could
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
valuable ^jj+atrb+++=valuable
analytical ^jj+atrb+++=analytical
framework ^nn++++=framework
for ^in++++=for
examining ^xvbg+++xvbg+=examining
dismantling ^nn++++=dismantling
processes ^nns++++=processes
beyond ^in++++=beyond
the ^ati++++=the
domain ^nn++++=domain
of ^in++++=of
social ^jj+atrb+++=social
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
2012 ^cd++++=2012
book ^nn++++=book,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
extended ^vbd+++xvbnx+=extended
their ^pp$+pp3+++=their
analysis ^nn++++=analysis
to ^to++++=to
include ^vbi++++=include
environmental ^jj+atrb+++=environmental
policy ^nn++++=policy
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
social ^jj+atrb+++=social
policy ^nn++++=policy
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
applicability ^nn++++=applicability
of ^in++++=of
their ^pp$+pp3+++=their
proposed ^jj+atrb+++=proposed
framework ^nn++++=framework.
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=They
define ^vb++++=define
policy ^nn++++=policy
dismantling ^nn++++=dismantling
as ^ql++++=as:
: ^zz++++=EXTRAWORD
