During ^in++++=During
the ^ati++++=the
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
training ^nn++++=training,
, ^zz++++=EXTRAWORD
both ^abx++++=both
the ^ati++++=the
research ^nn++++=research
team ^nn++++=team
and ^cc++++=and
the ^ati++++=the
medical ^jj+atrb+++=medical
infectologist ^nn+++??+=infectologist
responsible ^jj++++=responsible
for ^in++++=for
overseeing ^nn+++??+=overseeing
biosafety ^nn+++??+=biosafety
protocols ^nns++++=protocols
were ^vbd+bed+aux++=were
present ^vb++++=present.
. ^zz++++=EXTRAWORD
Interviewer ^nn++++=Interviewer
health ^nn++++=health
monitoring ^vwbg+++xvbg+=monitoring
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
through ^in++++=through
periodic ^jj+atrb+++=periodic
assessments ^nns++++=assessments
conducted ^vbd+++xvbn+=conducted
before ^cs+sub+++=before
the ^ati++++=the
initiation ^nn++++=initiation
of ^in++++=of
each ^dt++++=each
survey ^vb++++=survey
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
utilizing ^nn+++??+=utilizing
health ^nn++++=health
questionnaires ^nns++++=questionnaires
in ^in++++=in
conjunction ^nn++++=conjunction
with ^in++++=with
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
serological ^jj+atrb+++=serological
testing ^nn++++=testing
by ^in++++=by
immunochromatographic ^nn++++=immunochromatographic
assay ^nn++++=assay.
. ^zz++++=EXTRAWORD
