Immunochromatographic ^np+++??+=Immunochromatographic
tests ^nns++++=tests
for ^in++++=for
antibody ^nn++++=antibody
detection ^nn++++=detection
are ^vb+ber+vrb++=are
a ^at++++=a
valuable ^jj+atrb+++=valuable
tool ^nn++++=tool
for ^in++++=for
epidemiological ^nn+++??+=epidemiological
surveillance ^nn++++=surveillance,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
facilitate ^vb++++=facilitate
the ^ati++++=the
identification ^nn++++=identification
and ^cc++++=and
interruption ^nn++++=interruption
of ^in++++=of
virus ^nn++++=virus
transmission ^nn++++=transmission
chains ^nns++++=chains
and ^cc++++=and
support ^nn++++=support
health ^nn++++=health
surveillance ^nn++++=surveillance
activities ^nns++++=activities
focused ^vbd+++xvbn+=focused
on ^in++++=on
enhanced ^vbd+++xvbn+=enhanced
monitoring ^nvbg+++xvbg+=monitoring
and ^cc++++=and
individual ^jj+atrb+++=individual
care ^nn++++=care,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
preventive ^jj+atrb+++=preventive
measures ^nns++++=measures
[ ^zz++++=[8-10].
8 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
10 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
a ^at++++=a
seroepidemiological ^nn+++??+=seroepidemiological
survey ^vb++++=survey
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
prevalence ^nn+++??+=prevalence
and ^cc++++=and
dynamics ^nn++++=dynamics
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
socioeconomic ^nn+++??+=socioeconomic
and ^cc++++=and
health ^nn++++=health
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
populations ^nns++++=populations
of ^in++++=of
two ^cd++++=two
medium ^nn++++=medium-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
cities ^nns++++=cities
in ^in++++=in
the ^ati++++=the
Inconfidentes ^np+++??+=Inconfidentes
region ^nn++++=region
of ^in++++=of
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
paper ^nn++++=paper
details ^nns++++=details
the ^ati++++=the
methodological ^jj+atrb+++=methodological
procedures ^nns++++=procedures
employed ^vbd+++xvbn+=employed
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
and ^cc++++=and
presents ^nns++++=presents
estimates ^nns++++=estimates
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
prevalence ^nn++++=prevalence
within ^in++++=within
the ^ati++++=the
target ^nn++++=target
population ^nn++++=population.
. ^zz++++=EXTRAWORD
