Several ^ap++++=Several
respondents ^nns++++=respondents
attributed ^vwbn+++xvbn+=attributed
their ^pp$+pp3+++=their
decisions ^nns++++=decisions
to ^to+ncmp+++=to
leave ^vbi++++=leave
to ^in++++=to
the ^ati++++=the
dismantling ^nn++++=dismantling
processes ^nns++++=processes
they ^pp3a+pp3+++=they
observed ^vbd+vprv++xvbnx+=observed
within ^in++++=within
their ^pp$+pp3+++=their
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
untenable ^jj++++=untenable
to ^in++++=to
witness ^nn++++=witness.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
dynamic ^jj++++=dynamic
contributed ^jj+++xvbn+=contributed
to ^in++++=to
a ^at++++=a
self ^nn++++=self-reinforcing
- ^zz++++=EXTRAWORD
reinforcing ^vbg+++xvbg+=EXTRAWORD
cycle ^nn++++=cycle,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
policy ^nn++++=policy
dismantling ^nn++++=dismantling
prompted ^vbd+++xvbn+=prompted
bureaucratic ^jj+atrb+++=bureaucratic
exits ^nns++++=exits,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
further ^jjb+atrb+++=further
dismantling ^nn++++=dismantling.
. ^zz++++=EXTRAWORD
