Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+obj++=that
teachers ^nns++++=teachers
at ^rb++++=at
all ^abn++++=all
educational ^jj+atrb+++=educational
levels ^nns++++=levels
possess ^vb++++=possess
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
design ^vb++++=design,
, ^zz++++=EXTRAWORD
produce ^vb++++=produce,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
evaluate ^vb++++=evaluate
educational ^jj+atrb+++=educational
resources ^nns++++=resources
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
adapt ^vbi++++=adapt
to ^in++++=to
technological ^jj++++=technological,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cultural ^jj+atrb+++=cultural
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
capacity ^nn++++=capacity
enables ^vbz++++=enables
teachers ^vb++++=teachers
to ^to+vcmp+++=to
redefine ^vb+++??+=redefine
their ^pp$+pp3+++=their
professional ^jj+atrb+++=professional
roles ^nns++++=roles
and ^cc++++=and
effectively ^rb++++=effectively
address ^vb++++=address
diverse ^jj+atrb+++=diverse
situations ^nns++++=situations
and ^cc++++=and
the ^ati++++=the
needs ^nns++++=needs
of ^in++++=of
students ^nns++++=students
with ^in++++=with
varying ^xvbg+++xvbg+=varying
characteristics ^nns++++=characteristics
within ^in++++=within
the ^ati++++=the
teaching ^jj+++xvbg+=teaching-learning
- ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=EXTRAWORD
process ^nn++++=process
( ^zz++++=(Garc
garc ^nn++++=EXTRAWORD
a ^at++++=a-Valc
- ^zz++++=EXTRAWORD
valc ^nn++++=EXTRAWORD
rcel ^nn++++=rcel,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
