Table ^nn++++=Table
9 ^zz++++=9
presents ^vbz++++=presents
a ^at++++=a
summary ^nn++++=summary
of ^in++++=of
the ^ati++++=the
means ^nn++++=means
and ^cc++++=and
standard ^jj+atrb+++=standard
deviations ^nns++++=deviations
of ^in++++=of
the ^ati++++=the
Indicator ^nn++++=Indicator
magnitudes ^nns++++=magnitudes
for ^in++++=for
each ^dt++++=each
Dimension ^nn++++=Dimension.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^vb+vprv+++=indicate
a ^at++++=a
satisfactory ^jj+atrb+++=satisfactory
level ^nn++++=level
of ^in++++=of
independence ^nn++++=independence
among ^in++++=among
the ^ati++++=the
Indicators ^nns++++=Indicators,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
a ^at++++=a
maximum ^nn++++=maximum
average ^jj+atrb+++=average
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
of ^in++++=of
0.3515 ^nn++++=0.3515
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
" ^zz++++="Research"
research ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dimension ^nn++++=Dimension,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represents ^vbz++++=represents
the ^ati++++=the
highest ^jjt+atrb+++=highest
correlation ^nn++++=correlation
identified ^vwbn+++xvbn+=identified.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
support ^vb++++=support
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
the ^ati++++=the
Dimensions ^nns++++=Dimensions
and ^cc++++=and
Indicators ^nns++++=Indicators
selected ^vwbn+++xvbn+=selected
by ^in++++=by
" ^zz++++="U-Multirank"
u ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
constitute ^vb++++=constitute
an ^at++++=an
appropriate ^jj+atrb+++=appropriate
set ^nn+++xvbn+=set
for ^in++++=for
evaluating ^nn+++??+=evaluating
academic ^jj+atrb+++=academic
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
with ^in++++=with
minimal ^jj+atrb+++=minimal
redundancy ^nn++++=redundancy
in ^in++++=in
the ^ati++++=the
measurements ^nns++++=measurements.
. ^zz++++=EXTRAWORD
