Initially ^rb+cnj+++=Initially,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
anticipated ^vbd+vprv++xvbnx+=anticipated
that ^tht+vcmp+++=that
the ^ati++++=the
Bolsonaro ^np+++??+=Bolsonaro
administration ^nn++++=administration
would ^md+prd+++=would
immediately ^rb+tm+splt++=immediately
implement ^vb++++=implement
abrupt ^jj+atrb+++=abrupt
dismissals ^nns+++??+=dismissals
and ^cc++++=and
exclude ^vb++++=exclude
existing ^jj+atrb++xvbg+=existing
personnel ^nns++++=personnel;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
prediction ^nn++++=prediction
was ^vbd+bedz+vrb++=was
incorrect ^jj+pred+++=incorrect.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
administration ^nn++++=administration
gradually ^rb++++=gradually
consolidated ^vbd+++xvbn+=consolidated
control ^nn++++=control
over ^in++++=over
the ^ati++++=the
state ^nn++++=state
apparatus ^nn++++=apparatus
through ^in++++=through
a ^at++++=a
slow ^jj+atrb+++=slow
and ^cc+phrs+++=and
incremental ^jj+atrb+++=incremental
process ^nn++++=process.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
at ^rb++++=at
present ^vb++++=present,
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
my ^pp$+pp1+++=my
colleagues ^nns++++=colleagues
hold ^vb+vprv+++=hold
political ^jj+atrb+++=political
appointment ^nn++++=appointment
positions ^nns++++=positions
within ^in++++=within
this ^dt+dem+++=this
government ^nn++++=government,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
systematically ^rb++splt++=systematically
removed ^vpsv++agls+xvbn+=removed
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
previous ^jj+atrb+++=previous
roles ^nns++++=roles
in ^in++++=in
earlier ^jjr+atrb+++=earlier
administrations ^nns++++=administrations.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
military ^jj+atrb+++=military
officers ^nns++++=officers
within ^in++++=within
the ^ati++++=the
Cabinet ^nn++++=Cabinet
for ^in++++=for
Institutional ^jj+atrb+++=Institutional
Security ^nn++++=Security
( ^zz++++=(GSI)
gsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
reportedly ^nn+++??+=reportedly
monitor ^nn++++=monitor
individuals ^nns++++=individuals
social ^jj+atrb+++=social
media ^nns++++=media
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
any ^dti++++=any
content ^nn++++=content
is ^vbz+bez+aux++=is
perceived ^vpsv++agls+xvbnx+=perceived
as ^cs+sub+++=as
left ^vbd+++xvbn+=left-leaning,
- ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
not ^xnot++not++=not
approved ^vpsv++agls+xvbn+=approved
for ^in++++=for
appointments ^nns++++=appointments
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
04 ^nn++++=04).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
