According ^in+cmpx+++=According
to ^in++++=to
Hirschman ^np+++??+=Hirschman
( ^zz++++=(1970,
1970 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
4 ^zz++++=4),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
exit ^nn++++=exit
option ^nn++++=option
occurs ^vbz++++=occurs
when ^wrb+who+++=when
certain ^jj+atrb+++=certain
customers ^nns++++=customers
cease ^vb++++=cease
purchasing ^nvbg+++xvbg+=purchasing
a ^at++++=a
firm ^jj+atrb+++=firm's
's ^vbz+bez+vrb++0=EXTRAWORD
products ^nns++++=products
or ^cc+cls+++=or
when ^wrb+who+++=when
some ^dti++++=some
members ^nns++++=members
leave ^vb++++=leave
an ^at++++=an
organization ^nn++++=organization.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
behavior ^nn++++=behavior
leads ^nns++++=leads
to ^in++++=to
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
revenues ^nns++++=revenues
and ^cc++++=and
a ^at++++=a
decline ^nn++++=decline
in ^in++++=in
membership ^nn++++=membership,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
turn ^nn++++=turn
prompts ^vbz++++=prompts
management ^vb++++=management
to ^to+vcmp+++=to
identify ^vbi++++=identify
and ^cc++++=and
address ^nn++++=address
the ^ati++++=the
underlying ^jj+atrb+++=underlying
issues ^nns++++=issues
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
contributed ^vbd+++xvbn+=contributed
to ^to++++=to
the ^ati++++=the
exit ^nn++++=exit.
. ^zz++++=EXTRAWORD
