From ^in++++=From
a ^at++++=a
normative ^nn+++??+=normative
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
policy ^nn++++=policy
change ^nn++++=change
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
essential ^nn++++=essential
for ^in++++=for
improving ^xvbg+++xvbg+=improving
social ^jj+atrb+++=social
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
reducing ^vbg+++xvbg+=reducing
inequality ^nn++++=inequality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
promoting ^vbg+++xvbg+=promoting
sustainability ^nn+++??+=sustainability.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
implications ^nns++++=implications
of ^in++++=of
changes ^nns++++=changes
that ^tht+rel+subj++=that
involve ^vb++++=involve
the ^ati++++=the
dismantling ^nn++++=dismantling
of ^in++++=of
previously ^rb+tm+++=previously
effective ^jj+atrb+++=effective
policies ^nns++++=policies
require ^vb+vsua+++=require
further ^jjb+atrb+++=further
examination ^nn++++=examination.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
distinguish ^vbi++++=distinguish
between ^in++++=between
democratic ^jj+atrb+++=democratic
policy ^nn++++=policy
change ^nn++++=change
and ^cc++++=and
policy ^nn++++=policy
dismantling ^nn++++=dismantling.
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nn++++=address
these ^dt+dem+++=these
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
article ^nn++++=article
analyzes ^nns+++??+=analyzes
policy ^nn++++=policy
developments ^nns++++=developments
in ^in++++=in
Brazil ^np++++=Brazil
since ^cs+sub+++=since
Jair ^np+++??+=Jair
Bolsonaro ^np+++??+=Bolsonaro
assumed ^vwbn+++xvbn+=assumed
office ^nn++++=office
in ^in++++=in
January ^nr++++=January
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
focusing ^nn+++??+=focusing
on ^in++++=on
the ^ati++++=the
experiences ^nns++++=experiences
of ^in++++=of
the ^ati++++=the
federal ^jj+atrb+++=federal
bureaucracy ^nn++++=bureaucracy
across ^in+pl+++=across
various ^jj+atrb+++=various
agencies ^nns++++=agencies
and ^cc++++=and
professional ^jj+atrb+++=professional
sectors ^nns++++=sectors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
research ^nn++++=research
design ^nn++++=design
incorporates ^vbz++++=incorporates
both ^abx++++=both
quantitative ^jj+atrb+++=quantitative
and ^cc+phrs+++=and
qualitative ^jj+atrb+++=qualitative
data ^nns++++=data,
, ^zz++++=EXTRAWORD
collected ^xvbn+++xvbn+=collected
through ^in++++=through
a ^at++++=a
survey ^nn++++=survey
of ^in++++=of
former ^ap++++=former
and ^cc++++=and
current ^jj+atrb+++=current
federal ^jj+atrb+++=federal
employees ^nns++++=employees
and ^cc++++=and
semi ^nn+++??+=semi-structured
- ^zz++++=EXTRAWORD
structured ^nn+++??+=EXTRAWORD
interviews ^nns++++=interviews
with ^in++++=with
civil ^jj+atrb+++=civil
servants ^nns++++=servants
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
worked ^vprf+++xvbnx+=worked
or ^cc++++=or
are ^vb+ber+aux++=are
currently ^rb++splt++=currently
working ^vbg+++xvbgx+=working
in ^in++++=in
the ^ati++++=the
federal ^jj+atrb+++=federal
government ^nn++++=government.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
suggest ^vb+vpub+tht0++=suggest
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
policy ^nn++++=policy
dismantling ^nn++++=dismantling
differs ^vbz++++=differs
significantly ^rb++++=significantly
from ^in++++=from
routine ^nn++++=routine
policy ^nn++++=policy
change ^nn++++=change,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
characterized ^nn+++??+=characterized
by ^in++++=by
authoritarian ^jj+atrb+++=authoritarian
practices ^nns++++=practices
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
disrupted ^vpsv++agls+xvbn+=disrupted
the ^ati++++=the
federal ^jj+atrb+++=federal
bureaucracy ^nn++++=bureaucracy
and ^cc++++=and
weakened ^vbd+++xvbn+=weakened
state ^nn++++=state
capacity ^nn++++=capacity.
. ^zz++++=EXTRAWORD
